#TN Revenue Expenditure in Laks 2002-2018
#head,desc,2002,2003,2004,2005,2006,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019
2506,Land Reforms,70.39,"3,50.33","4,09.34","6,04.38","8,66.84","-17,10.71",,"-0.04","-0.01","-0.08","-0.01","-0.03","-0.06","-0.03",,
2515,Other Rural Development Programmes,"414,62.43","658,19.21","321,20.45","393,53.17","466,00.84","436,84.30","369,49.65","567,59.37","468,80.41","572,96.86","567,46.83","951,19.49","978,17.31","873,95.13","825,41.01","879,85.32","850,18.30"
2551,Hill Areas,"15,73.80","15,24.00","16,32.65","9,27.27","12,65.28","12,03.42","13,96.67","13,55.85","9,07.54","7,21.37","9,87.38","4,79.86","6,31.82","3,13.43","2,98.87","3,40.26","4,06.83"
2701,Medium Irrigation,"403,26.59","449,76.33","468,34.71","461,63.64","537,08.53","560,56.21","639,88.38","694,83.02","698,67.79","643,97.09","521,02.46","1049,52.83","1,143,99.11","1,176,18.75","1,193,87.21","1,347,20.62","1,345,42.94"
2702,Minor Irrigation,"34,26.93","38,02.78","57,50.53","45,57.42","47,92.08","45,78.74","56,08.63","57,69.76","78,93.30","87,53.85","82,80.41","89,72.62","88,47.08","88,08.73","76,82.05","91,41.90","100,14.20"
2705,Command Area Development,"45,96.76","47,09.51","39,45.41","15,96.61","17,22.58","16,37.59","17,39.43","16,64.68","19,35.17","19,31.85","18,81.81","18,54.43","13,65.33","3,93.24","1,85.80",,-0.01
2711,Flood Control and Drainage,"2,59.41","2,85.75","4,39.73","9,15.44","2,90.39","6,13.94","8,00.83","16,41.79","35,14.18","75,11.36","99,03.35","115,73.15","129,65.60","129,65.99","140,02.90","150,36.74","155,87.51"
2801,Power,"2,001,15.91","438,17.50","1,063,44.54","1,026,13.31","1,181,11.29","1,169,14.85","1,292,98.73","1,313,53.00","1,266,08.55","1,774,45.37","1,867,51.00","1,865,66.01","3,496,39.75","3,906,63.60","6,296,32.65","8,426,02.12","7,662,70.22"
2810,New and Renewable  Energy,"1,11.48","1,92.63",96.53,93.59,95.31,"1,11.44","1,11.28","1,73.12","2,13.07","2,03.67","1,77.86","2,71.54","17,45.57","13,78.10","4,99.69","1,48.93","12,14.74"
2851,Village and Small Industries,"250,29.79","188,27.26","218,30.11","285,93.47","430,24.30","322,31.24","350,24.16","412,67.90","659,15.35","539,64.79","776,43.63","947,99.70","886,75.93","1,002,01.96","1,083,46.68","1,148,42.79","1,436,73.21"
2852,Industries,"28,47.78","15,09.75","4,62.42","15,05.41","47,59.33","16,78.97","137,09.64","36,34.79","724,44.55","50,53.70","859,70.66","588,13.66","722,05.71","1,223,42.93","1,683,55.62","1,672,64.23","2,249,49.52"
2853,Non-Ferrous Mining and Metallurgical Industries,"3,60.45","3,80.89","4,39.73","4,26.16","5,04.64","5,17.27","51,04.43","7,73.43","9,20.60","9,52.58","11,22.16","11,53.64","13,15.65","12,40.24","12,88.92","15,51.91","16,23.54"
2875,Other Industries,,,,"-1,31.28",,,,,,,,,,,,,
2885,Other Outlays on Industries and Minerals,"17,92.18","17,93.22","17,05.79",42.79,-64.16,4.63,"-6,38.68",-13.45,-0.69,-30.76,-1.77,,,,,,-3.40
3051,Ports and Lighthouses,,,,,,,,,,,,,,,,,
3052,Shipping,,,,,,,,,,,,48.75,,,,5.00,
3053,Civil Aviation,8.75,11.10,4.46,5.61,9.34,7.52,7.52,7.52,7.52,7.52,5.56,7.52,,,,,
3054,Roads and Bridges,"366,20.08","449,23.63","636,90.00","617,56.42","856,27.32","873,77.48","911,67.64","963,77.66","597,78.68","926,25.79","1,289,39.40","1,404,34.11","1,449,38.62","935,56.94","866,85.09","1,281,51.02","1,040,13.69"
3055,Road Transport,1.34,3,60,3.81,"1,79.86",1.78,"1,38.11","2,79.28","22,81.20","22,79.32","222,78.32","536,62.97","622,80.58","289,57.12","653,05.27","849,97.73","366,09.58"
3056,Inland Water Transport,"1,29.02","1,89.42","1,19.39","1,17.43","1,22.03","1,21.18","2,10.05","1,72.95",97.64,93.56,94.79,99.82,95.66,94.91,110.97,"1,03.87","1,33.70"
3075,Other Transport Services,,,,,,,,,,"2,00.00",,"4,70.68",30.03,"1,40.00","1,00.00","1,00.66","1,20.00"
3425,Other Scientific Research,"2,49.79","5,19.48","5,42.12","9,65.43","6,82.86","6,66.15","8,93.44","4,78.23","8,53.74","8,92.09","7,70.94","4,46.64","6,69.79","6,47.84","8,64.27","15,75.06","8,09.69"
3435,Ecology and Environment,56.84,"21,10.29","1,15.32","1,43.47","2,17.66","3,42.51","3,66.86","3,87.78","12,47.62","10,57.57","6,28.41","8,26.60","6,05.68","7,37.03","5,70.55","3,86.05","13,18.80"
3451,Secretariat - Economic Services,"21,27.63","19,49.70","25,43.83","23,16.87","28,30.92","38,24.52","37,67.05","40,38.00","46,69.43","47,72.37","52,09.53","74,21.39","88,65.06","65,04.66","67,62.76","74,42.70","90,69.18"
3452,Tourism,"11,36.97","24,75.19","16,55.35","28,09.15","44,66.02","37,66.07","36,47.93","41,31.22","41,88.32","21,40.31","46,58.68","18,32.44","24,35.95","23,57.68","23,05.82","24,80.16","26,93.67"
3453,Foreign Trade and Export Promotion,,,,,,,,,,,,,,,,,
3454,Census Surveys and Statistics,"19,36.56","18,74.29","22,18.73","25,65.05","24,45.71","25,25.26","30,51.81","36,68.56","108,32.57","106,85.59","51,27.31","51,08.81","104,29.99","88,93.81","64,62.88","87,36.55","100,88.48"
3456,Civil Supplies,"1,268,84.10","828,57.20","990,32.34","1,328,91.42","2,053,56.94","1,968,84.74","2,829,99.69","4,077,23.05","4,014,96.87","5,019,88.17","4,972,43.43","4,973,98.18","5,101,29.37","5,425,47.37","5,698,74.80","6,223,40.15","8,154,58.53"
3475,Other General Economic Services,"13,25.22","12,71.33","12,84.00","13,85.17","17,78.89","23,95.14","29,32.67","31,21.69","36,30.78","64,35.52","53,01.73","100,27.52","34,96.68","355,64.04","291,63.27","278,54.37","278,99.48"
3604,Compensation and Assignments to Local Bodies and Panchayat Raj Institutions,"1,557,11.77","1,476,67.03","1,959,77.33","2,028,85.79","2,447,00.94","3,349,30.19","3,979,75.10","3,999,41.05","5,861,37.01","7,493,01.50","9,164,07.80","9,175,07.76","9,980,35.71","10,731,76.39","12,465,57.80","11,470,39.59","14,879,55.22"
,Total,"25,687,69.74","25,270,95.13","29,154,86.67","32,008,65.89","38,264,97.02","42,975,01.49","5,35,90,25.97","5,93,75,34.90","7,29,16,30.88","8,38,38,03.93","9,70,67,43.63","10,98,24,66.78","12,88,28,00.39","14,09,93,22.60","15,31,95,26.18","16,78,73,63.36","19,72,00,59.96"
,Surplus 0R Deficit,"-4,850,95.53","1,565,23.65","-703,33.94","1,951,33.13","2,648,25.79","4,545,49.15","1,452,24.92","-3,531,21.81","-2,728,69.28","1,364,10.31","-11,865,29.39","-1,788,24.48","-6,407,56.24","-11,985,35.16","-12,964,12.72","-21,593,87.53","-23,459,44.40"
