#tn revenue reciepts in laks
head,2002,2003,2004,2005,2006,,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0039,State Excise,"2,113,60.88","1,657,09.93","2,549,00.48","3,176,65.18","3,986,41.94","4,764,05.52","5,755,51.60","6,740,68.45","8,115,94.02","9,975,20.59","12,125,68.22","5,034,91.20","5,731,17.67","5,836,02.09","6,248,15.95","5,815,29.67","6,863,11.94"
0040,"Taxes on Sales, Trade Etc.","9,589,60.17","11,004,63.06","12,996,18.38","15,554,69.14","17,727,16.40","18,156,36.13","20,674,69.84 22,661,51.95",,"28,614,23.32","36,288,89.96","44,041,13.23","53,532,17.01","57,190,79.67","57,522,03.15","63,233,58.22","46,356,14.52","42,701,07.35"
0041,Taxes on Vehicles,"745,61.97","934,29.15","1,014,74.81","1,124,93.21","1,260,88.40","1,483,21.42","1,709,56.87","2,024,63.85","2,660,04.71","3,101,08.58","3,928,43.08","3,683,57.91","3,828,94.55","4,233,39.36","4,854,28.53","5,362,62.68","5,572,80.32"
0042,Taxes on Goods and Passengers,"489,51.78","610,94.44","763,87.13","984,94.21","1,243,49.55","1,097,47.00","978,73.75","1,091,91.74","1,625,79.52","2,123,34.46","2,251,58.91","1,842,76.09","1,908,83.26","2,153,39.98","2,551,34.44","899,50.80","2,84.84"
0043,Taxes and Duties on Electricity,"135,17.99","228,00.39","243,04.83","95,21.62","266,40.21","37,21.81","355,69.20","37,05.50","1,745,43.38","1,040,20.48","768,88.13","743,56.60","1,092,09.06","1,301,42.51","1,242,47.26","1,219,31.93","620,96.83"
0044,Service Tax,"74,67.00","125,59.00","225,05.00","369,59.00","613,32.00","805,24.00","919,28.00","924,44.00","1,088,19.00","1,517,51.00","2,120,08.00","2,582,54.00","2,480,17.00","3,535,13.00","3,948,52.00","3,082,99.00","282,27.04"
0045,"Other Taxes and Duties on Commodities and Services,"188,17.04","184,42.24","99,19.71","112,84.48","153,72.67","181,84.79","196,62.56","200,01.58","246,63.54","310,07.71","345,09.58","347,95.75","361,77.17","461,40.24","411,30.80","139,09.43","1,38.41"
0047,Other Fiscal Services,"0.73","3.68","30.42",2.42,3.28,0.28,12.32,4.11,4.87,0.18,0.19,0.06,0.05,0.04,2.54,0.04,0.10
0049,Interest Receipts,"568,70.70","532,53.36","565,80.30","797,43.85","1,103,79.40","1,242,48.91","1,465,08.00","1,797,28.65","1,662,76.88","2,021,41.41","2,010,40.19","3,347,26.74","2,489,37.54","2,952,91.27","4,319,12.85","5,198,56.00","6,875,20.95"
0050,Dividends and Profits,"25,98.87","27,20.37","24,24.62","22,47.24","30,20.45","39,70.84","36,01.47","48,32.29","27,01.50","35,47.66","43,47.59","75,49.80","99,45.88","140,58.80","184,76.75","158,58.58","155,97.81"
0051,Public Service Commission,"48.88","1,20.04","35.31","2,98.79","5,71.01","4,85.70","4,01.00","4,90.36","11,15.82","3,19.10","24,21.21","21,15.68","15,92.67","15,85.62","13,53.57","34,44.73","14,06.59"
