2013-00,COUNCIL OF MINISTERS,,,,,
02,Festival Advances-Credit,"- 3,94","- 9,15","- 9,15","- 9,15",2052 00 090 AC 34902
359,Prizes and Awards,12,35,35,35,2052 00 090 AC 35900
01,Prizes and Awards,12,35,35,35,2052 00 090 AC 35901
AC,Total AC,"26,98,61","27,18,98","29,22,90","32,06,22",
BF,Settlement of Air Travel Expenses incurred by the Personal Staff of Ministers and Officers of Public Department,,,,,,2052 00 090 BF 30000
304,Travel Expenses,,"33,89","34,00","34,00","34,00",2052 00 090 BF 30400
01,Tour Travelling Allowances,"33,89","34,00","34,00","34,00",2052 00 090 BF 30401
BF,Total BF,"33,89","34,00","34,00","34,00",
#State's Expenditure Total,,"27,32,50","27,52,98","29,56,90","32,40,22",
090,Total 090,"27,32,50","27,52,98","29,56,90","32,40,22",
00,Total 00,"27,32,50","27,52,98","29,56,90","32,40,22",
2052,Total 2052,"27,32,50","27,52,98","29,56,90","32,40,22",
