TOTAL NET MAJOR HEAD 2059,"45,40,40","21,88,05","37,28,90","27,85,02"
ADD - RECOVERIES,,,,
TOTAL GROSS MAJOR HEAD 2059,"45,40,40","21,88,05","37,28,90","27,85,02"
2230,"LABOUR, EMPLOYMENT AND SKILL DEVELOPMENT",,,,
01,"Labour",,,,
101,Industrial Relations Charged,,1,,
101,Industrial Relations Voted,"21,24,36","23,47,54","22,42,43","24,45,13"
103,General Labour Welfare,"1,18,15","1,58,62","1,58,62","1,58,62"
911,Deduct - Recoveries of Overpayments,"- 2,00",,,
TOTAL SUB MAJOR HEAD 2230 01 Charged,,1,,
TOTAL SUB MAJOR HEAD 2230 01 Voted,"22,40,51","25,06,16","24,01,05","26,03,75"
TOTAL MAJOR HEAD 2230 Charged,,1,,
TOTAL MAJOR HEAD 2230 Voted,"22,40,51","25,06,16","24,01,05","26,03,75"
TOTAL NET MAJOR HEAD 2230 Charged,,1,,
TOTAL NET MAJOR HEAD 2230 Voted,"22,40,51","25,06,16","24,01,05","26,03,75"
TOTAL NET MAJOR HEAD 2230,"22,40,51","25,06,17","24,01,05","26,03,75"
ADD - RECOVERIES,"2,00",,,
TOTAL GROSS MAJOR HEAD 2230 Charged,,1,,
TOTAL GROSS MAJOR HEAD 2230 Voted,"22,42,51","25,06,16","24,01,05","26,03,75"
GRAND TOTAL MAJOR HEAD 2230,"22,42,51","25,06,17","24,01,05","26,03,75"
2235,SOCIAL SECURITY AND WELFARE,,,,
60,Other Social Security and Welfare Programmes,,,,
200,Other Programmes,"8,00,00","8,00,01","8,00,00","8,00,00"
TOTAL SUB MAJOR HEAD 2235 60,"8,00,00","8,00,01","8,00,00","8,00,00"
TOTAL MAJOR HEAD 2235,"8,00,00","8,00,01","8,00,00","8,00,00"
TOTAL NET MAJOR HEAD 2235,"8,00,00","8,00,01","8,00,00","8,00,00"
ADD - RECOVERIES,,,,
TOTAL GROSS MAJOR HEAD 2235,"8,00,00","8,00,01","8,00,00","8,00,00"
3604-00,COMPENSATION AND ASSIGNMENTS TO LOCAL BODIES AND PANCHAYAT RAJ INSTITUTIONS,,,,
200,Other Miscellaneous Compensations and Assignments,"19,24","42,00","40,00","40,00"
TOTAL MAJOR HEAD 3604,"19,24","42,00","40,00","40,00"
TOTAL NET MAJOR HEAD 3604,"19,24","42,00","40,00","40,00"
ADD - RECOVERIES,,,,
TOTAL GROSS MAJOR HEAD 3604,"19,24","42,00","40,00","40,00"
REVENUE SECTION TOTAL Charged,"2,41,62,43","2,44,48,37","3,06,87,49","2,72,72,27"
REVENUE SECTION TOTAL Voted,"9,66,20,21","10,01,15,51","9,91,79,02","10,91,46,25"
REVENUE SECTION NET TOTAL Charged,"2,41,62,43","2,44,48,37","3,06,87,49","2,72,72,27"
REVENUE SECTION NET TOTAL Voted,"9,66,20,21","10,01,15,51","9,91,79,02","10,91,46,25"
REVENUE SECTION NET TOTAL,"12,07,82,64","12,45,63,88","12,98,66,51","13,64,18,52"
ADD - RECOVERIES,"4,79,38",,,
REVENUE SECTION GROSS TOTAL Charged,"2,41,62,43","2,44,48,37","3,06,87,49","2,72,72,27"
REVENUE SECTION GROSS TOTAL Voted,"9,70,99,59","10,01,15,51","9,91,79,02","10,91,46,25"
REVENUE SECTION GROSS TOTAL,"12,12,62,02","12,45,63,88","12,98,66,51","13,64,18,52"
TOTAL NET Charged,"2,41,62,43","2,44,48,37","3,06,87,49","2,72,72,27"
TOTAL NET Voted,"9,66,20,21","10,01,15,51","9,91,79,02","10,91,46,25"
TOTAL NET,"12,07,82,64","12,45,63,88","12,98,66,51","13,64,18,52"
ADD - RECOVERIES,"4,79,38",,,
TOTAL GROSS Charged,"2,41,62,43","2,44,48,37","3,06,87,49","2,72,72,27"
TOTAL GROSS Voted,"9,70,99,59","10,01,15,51","9,91,79,02","10,91,46,25"
GRAND TOTAL,"12,12,62,02","12,45,63,88","12,98,66,51","13,64,18,52"
