2070-00,OTHER ADMINISTRATIVE SERVICES,,,,,
314,Sumptuary Allowances,"2,82","1,82","3,24","3,24",2070 00 800 BJ 31400
01,Sumptuary Allowances,"2,82","1,82","3,24","3,24",2070 00 800 BJ 31401
319,Machinery and Equipments,"2,80",,"4,43",1,2070 00 800 BJ 31900
01,Purchase,"2,80",,,,2070 00 800 BJ 31901
03,Maintenance,,,"4,43",1,2070 00 800 BJ 31903
321,Motor Vehicles,,20,31,26,26,2070 00 800 BJ 32100
01,Purchase,,1,1,1,2070 00 800 BJ 32101
02,Maintenance of,20,30,25,25,2070 00 800 BJ 32102
Functional Vehicles,,,,,,
333,Payments for,"1,22","4,21","4,59","4,59",2070 00 800 BJ 33300
Professional and Special,,,,,,
Services,,,,,,
01,Pleaders Fees,"1,22","4,21","4,21","4,21",2070 00 800 BJ 33301
04,Contract Payment,,,38,38,2070 00 800 BJ 33304
334,Other Charges,,1,15,15,15,2070 00 800 BJ 33400
02,Purchase  of  Books &,1,15,15,15,2070 00 800 BJ 33402
Periodicals to Libraries,,,,,,
"etc.,",,,,,,
345,"Petroleum, Oil and","1,91","3,67","3,67","3,67",2070 00 800 BJ 34500
Lubricant,,,,,,
01,"Petroleum, Oil and","1,91","3,67","3,67","3,67",2070 00 800 BJ 34501
Lubricant,,,,,,
349,"Festival Advances",1,,,,2070 00 800 BJ 34900
01,"Festival Advances-Debit","1,15","1,30","2,60","2,70",2070 00 800 BJ 34901
02,"Festival Advances-Credit","- 1,14","- 1,30","- 2,60","- 2,70",2070 00 800 BJ 34902
359,"Prizes and Awards",,4,4,4,2070 00 800 BJ 35900
01,"Prizes and Awards",,4,4,4,2070 00 800 BJ 35901
376,Computer and Accessories,"1,09","1,41","1,61","1,41",2070 00 800 BJ 37600
01,"Purchase",,1,1,1,2070 00 800 BJ 37601
02,Maintenance,75,75,95,75,2070 00 800 BJ 37602
03,"Stationery",34,65,65,65,2070 00 800 BJ 37603
BJ,Total BJ,"2,45,89","2,71,97","2,95,07","3,10,00",
BK,District Consumer disputes redressal forums - District staff,,,,,2070 00 800 BK 30000
301,"Salaries","7,43,93","7,48,73","7,48,90","7,75,66",2070 00 800 BK 30100
01,"Pay","6,01,58","6,17,00","6,17,00","6,41,68",2070 00 800 BK 30101
02,Medical Allowance,"8,60","8,85","8,85","8,85",2070 00 800 BK 30102
03,Medical Charges,"3,33",10,10,1,2070 00 800 BK 30103
04,Other Allowances,"30,83","12,43","12,54","13,05",2070 00 800 BK 30104
06,House Rent Allowance,"39,60","40,16","40,36","41,99",2070 00 800 BK 30106
07,"Travel Concession",,20,36,20,2070 00 800 BK 30107
08,City Compensatory,"4,70","4,99","4,69","4,88",2070 00 800 BK 30108
Allowance,,,,,
09,Honorarium,"55,29","65,00","65,00","65,00",2070 00 800 BK 30109
302,Wages,"1,85","3,12","3,12","3,12",2070 00 800 BK 30200
01,Wages,"1,85","3,12","3,12","3,12",2070 00 800 BK 30201
303,Dearness Allowance,"2,58,13","80,21","99,97","1,57,21",2070 00 800 BK 30300
01,Dearness Allowance,"2,58,13","80,21","99,97","1,57,21",2070 00 800 BK 30301
304,Travel Expenses,,"6,03","3,32","21,51","13,15",2070 00 800 BK 30400
01,Tour Travelling,"5,90","3,00","21,19","12,83",2070 00 800 BK 30401
Allowances,,,,,,
02,Transfer Travelling,13,32,32,32,2070 00 800 BK 30402
Allowances,,,,,,
305,Office Expenses,,"13,36","15,60","16,60","18,40",2070 00 800 BK 30500
01,Telephone Charges,"4,72","4,32","4,96","5,17",2070 00 800 BK 30501
02,Other Contingencies,"4,38","5,05","5,05","5,25",2070 00 800 BK 30502
03,Electricity Charges,"3,32","5,25","5,61","7,00",2070 00 800 BK 30503
04,Service Postage & Postal,94,98,98,98,2070 00 800 BK 30504
Expenditure,,,,,,
306,"Rent, Rates and Taxes","14,85","16,24","18,61","18,01",2070 00 800 BK 30600
01,Rent,,"14,00","15,00","16,57","16,57",2070 00 800 BK 30601
02,Property tax,85,"1,00","1,80","1,20",2070 00 800 BK 30602
03,Water Charges,,24,24,24,2070 00 800 BK 30603
319,Machinery and Equipments,"74,73",95,95,95,2070 00 800 BK 31900
01,Purchase,"74,03",,,,2070 00 800 BK 31901
03,Maintenance,70,95,95,95,2070 00 800 BK 31903
333,Payments for,"10,15","10,53","10,15","10,15",2070 00 800 BK 33300
Professional and Special,,,,,,
Services,,,,,,
04,Contract Payment,"10,15","10,53","10,15","10,15",2070 00 800 BK 33304
349,Festival Advances,15,,,,2070 00 800 BK 34900
01,Festival Advances-Debit,"5,85","6,80","13,60","13,60",2070 00 800 BK 34901
02,Festival Advances-Credit,"- 5,70","- 6,80","- 13,60","- 13,60",2070 00 800 BK 34902
359,Prizes and Awards,2,4,4,4,2070 00 800 BK 35900
01,Prizes and Awards,2,4,4,4,2070 00 800 BK 35901
376,Computer and Accessories,"4,52","5,71","5,71","5,71",2070 00 800 BK 37600
01,"Purchase",,1,1,1,2070 00 800 BK 37601
02,Maintenance,"3,33","4,40","4,40","4,40",2070 00 800 BK 37602
03,"Stationery","1,19","1,30","1,30","1,30",2070 00 800 BK 37603
BK,Total BK,"11,27,72","8,84,45","9,25,56","10,02,40",
CD,Madurai Circuit Bench of State Commission,,,,,2070 00 800 CD 30000
301,"Salaries","57,34","65,14","65,16","67,65",2070 00 800 CD 30100
01,"Pay","52,86","60,81","60,81","63,24",2070 00 800 CD 30101
02,Medical Allowance,43,44,44,36,2070 00 800 CD 30102
04,Other Allowances,33,35,35,36,2070 00 800 CD 30104
06,House Rent Allowance,"3,21","2,94","2,96","3,07",2070 00 800 CD 30106
07,"Travel Concession",,10,10,10,2070 00 800 CD 30107
08,City Compensatory,51,50,50,52,2070 00 800 CD 30108
Allowance,,,,,
302,Wages,24,43,43,43,2070 00 800 CD 30200
01,Wages,24,43,43,43,2070 00 800 CD 30201
303,Dearness Allowance,"4,63","7,90","8,50","15,49",2070 00 800 CD 30300
01,Dearness Allowance,"4,63","7,90","8,50","15,49",2070 00 800 CD 30301
304,Travel Expenses,"2,27","4,00","4,00","4,00",2070 00 800 CD 30400
01,"Tour Travelling","2,27","4,00","4,00","4,00",2070 00 800 CD 30401
Allowances,,,,,
305,Office Expenses,"1,31","2,46","2,46","2,54",2070 00 800 CD 30500
01,"Telephone Charges",20,70,70,70,2070 00 800 CD 30501
02,Other Contingencies,20,30,30,30,2070 00 800 CD 30502
03,"Electricity Charges",87,"1,42","1,42","1,50",2070 00 800 CD 30503
04,"Service Postage & Postal",4,4,4,4,2070 00 800 CD 30504
Expenditure,,,,,
319,Machinery and Equipments,"2,38",5,5,10,2070 00 800 CD 31900
03,Maintenance,"2,38",5,5,10,2070 00 800 CD 31903
321,Motor Vehicles,,,5,5,2070 00 800 CD 32100
02,Maintenance of,,,5,5,2070 00 800 CD 32102
Functional Vehicles,,,,,
333,"Payments for","2,67","5,65","5,65","5,65",2070 00 800 CD 33300
Professional and Special,,,,,
Services,,,,,
01,"Pleaders Fees",35,"4,20","4,20","4,20",2070 00 800 CD 33301
04,Contract Payment,"2,32","1,45","1,45","1,45",2070 00 800 CD 33304
345,"Petroleum, Oil and",,52,52,52,2070 00 800 CD 34500
Lubricant,,,,,
01,"Petroleum, Oil and",,52,52,52,2070 00 800 CD 34501
Lubricant,,,,,
349,"Festival Advances",,,,,
01,"Festival Advances-Debit",50,70,90,"1,40",2070 00 800 CD 34901
02,"Festival Advances-Credit",- 50,- 70,- 90,"- 1,40",2070 00 800 CD 34902
376,Computer and Accessories,17,40,40,40,2070 00 800 CD 37600
02,Maintenance,,20,20,20,2070 00 800 CD 37602
03,"Stationery",17,20,20,20,2070 00 800 CD 37603
CD,Total CD,"71,01","86,55","87,22","96,83",
CE,Mediation Advisory Centre,,,,,2070 00 800 CE 30000
305,Office Expenses,7,36,36,36,2070 00 800 CE 30500
01,"Telephone Charges",,18,18,18,2070 00 800 CE 30501
02,Other Contingencies,7,18,18,18,2070 00 800 CE 30502
333,"Payments for","2,40","2,52","2,52","2,52",2070 00 800 CE 33300
Professional and Special,,,,,
Services,,,,,
04,Contract Payment,"2,40","2,52","2,52","2,52",2070 00 800 CE 33304
CE,Total CE,"2,47","2,88","2,88","2,88",
#,State's Expenditure Total,"14,47,09","12,45,85","13,10,73","14,12,11",
#,Central Sector Schemes,,,,,
SD,State Consumer Disputes Redressal Commission - Headquarters Staff,,,,,2070 00 800 SD 30000
305,Office Expenses,"5,03",,,,2070 00 800 SD 30500
05,"Furniture","5,03",,,,2070 00 800 SD 30505
319,Machinery and Equipments,"4,54",,,,2070 00 800 SD 31900
01,"Purchase","4,54",,,,2070 00 800 SD 31901
334,Other Charges,46,,,,2070 00 800 SD 33400
02,"Purchase  of  Books &",46,,,,2070 00 800 SD 33402
Periodicals to Libraries,,,,,
"etc.,",,,,,
376,Computer and Accessories,"1,82",,,,2070 00 800 SD 37600
01,"Purchase","1,56",,,,2070 00 800 SD 37601
02,Maintenance,26,,,,2070 00 800 SD 37602
SD,Total SD,"11,85",,,,
013,02   State Consumer Dispute Redressal Commission,,,,,
,,,Ïð£Œ ÝJóˆF™,,(Rupees in Thousands)
(2),( 3),( 4),( 5),( 6),( 7)
SE,Madurai Circuit Bench of State Commission,,,,,2070 00 800 SE 30000
305,Office Expenses,"2,69",,,,2070 00 800 SE 30500
05,"Furniture","2,69",,,,2070 00 800 SE 30505
319,Machinery and Equipments,"3,40",,,,2070 00 800 SE 31900
01,"Purchase","3,40",,,,2070 00 800 SE 31901
334,Other Charges,46,,,,2070 00 800 SE 33400
02,"Purchase  of  Books &",46,,,,2070 00 800 SE 33402
Periodicals to Libraries,,,,,
"etc.,",,,,,
376,Computer and Accessories,"1,48",,,,2070 00 800 SE 37600
01,"Purchase","1,36",,,,2070 00 800 SE 37601
02,Maintenance,12,,,,2070 00 800 SE 37602
SE,Total SE,"8,03",,,,
SF,District Consumer Disputes Redressal Forums - District Staff,,,,,2070 00 800 SF 30000
305,Office Expenses,"63,96",,,,2070 00 800 SF 30500
05,"Furniture","63,96",,,,2070 00 800 SF 30505
319,Machinery and Equipments,"62,10",,,,2070 00 800 SF 31900
01,"Purchase","62,10",,,,2070 00 800 SF 31901
334,Other Charges,"9,31",,,,2070 00 800 SF 33400
02,"Purchase  of  Books &","9,31",,,,2070 00 800 SF 33402
Periodicals to Libraries,,,,,
"etc.,",,,,,
376,Computer and Accessories,"12,27",,,,2070 00 800 SF 37600
01,"Purchase","10,56",,,,2070 00 800 SF 37601
02,Maintenance,"1,31",,,,2070 00 800 SF 37602
013,02   State Consumer Dispute Redressal Commission,,,,,
03,Stationery,40,,,,2070 00 800 SF 37603
SF,Total SF,"1,47,64",,,,
#,Central Sector Schemes Total,,"1,67,52",,,,
800,Total 800,"16,14,61","12,45,85","13,10,73","14,12,11",
00,Total 00,"16,14,61","12,45,85","13,10,73","14,12,11",
2070,Total 2070,"16,14,61","12,45,85","13,10,73","14,12,11",
4070-00,CAPITAL OUTLAYON,OTHER ADMINISTRATIVE SERVICES,,,,,,
800,Other Expenditure,,,,,
#,Central Sector Schemes,,,,,
SC,"Construction of building for State Consumer Disputes Redressal Commission and District Consumer Disputes Redressal Forum, Chennai (North and South)",,,,,,4070 00 800 SC 40000
416,Major Works,"14,87",,"1,10,27",,4070 00 800 SC 41600
01,Major Works,"14,87",,"1,10,27",,4070 00 800 SC 41601
SC,Total SC,"14,87",,"1,10,27",,
SD,Construction of building for District Consumer Disputes Redressal Forums,,,,,,4070 00 800 SD 40000
416,Major Works,"10,87",,"3,86",,4070 00 800 SD 41600
01,Major Works,"10,87",,"3,86",,4070 00 800 SD 41601
SD,Total SD,"10,87",,"3,86",,
#,Central Sector Schemes Total,,"25,74",,"1,14,13",,
800,Total 800,"25,74",,"1,14,13",,
00,Total 00,"25,74",,"1,14,13",,
4070,Total 4070,"25,74",,"1,14,13",,
