2011,PARLIAMENT/STATE/ UNION TERRITORY LEGISLATURES 
02,State/ Union Territory Legislatures 
101,"Legislative Assembly State's Expenditure" 
AA,Pay of Speaker and Deputy Speaker,,,,2011 02 101 AA 30000 
01,Minor Works,,1,,,2011 02 101 AD 31701
AD,Total AS,,1,,,
AE,Photo Opening Ceremony Celebrations,,,,,2011 02 101 AE 30000
305,Office Expenses,,,"7,00",,2011 02 101 AE 30500
02,Other Contingencies,,,"7,00",,2011 02 101 AE 30502
313,Hospitality / Entertainment Expenditure,,,"2,00",1,2011 02 101 AE 31300
01,Hospitality / Entertainment Expenditure,,,"2,00",1,2011 02 101 AE 31301
317,Minor Works,"8,87",1,"2,00",,2011 02 101 AE 31700
01,Minor Works,"8,87",1,"2,00",,2011 02 101 AE 31701
333,"Payments for Professional and Special Services",,1,"6,00",1,2011 02 101 AE 33300
03,"Special Service",,1,"6,00",1,2011 02 101 AE 33303
359,"Prizes and Awards",96,,"3,00",1,2011 02 101 AE 35900
01,"Prizes and Awards",96,,"3,00",1,2011 02 101 AE 35901
AE,Total AE,"9,83",2,"20,00",3,
#,"State's Expenditure Charged","45,40","58,86","64,22","57,72",
#,"State's Expenditure Charged","28,69,85","29,18,75","28,55,82","29,18,76",
101,Total 101 Charged,"45,40","58,86","64,22","57,72",
101,Total 101 Voted,"28,69,85","29,18,75","28,55,82","29,18,76",
103,"Legislative Secretariat State's Expenditure",,,,,
AA,"State Legislative Assembly Secretariat",,,,,2011 02 103 AA 30000
301,"Salaries","24,14,07","26,38,39","24,83,78","25,98,39",2011 02 103 AA 30100
01,"Pay","21,03,40","23,07,87","21,58,75","22,45,10",2011 02 103 AA 30101
02,Medical Allowance,"12,45","12,60","13,28","13,68",2011 02 103 AA 30102
03,Medical Charges,"3,03","7,20","6,20","4,86",2011 02 103 AA 30103
04,Other Allowances,"27,39","29,52","30,71","30,71",2011 02 103 AA 30104
06,House Rent Allowance,"2,29,17","2,37,83","2,31,47","2,58,23",2011 02 103 AA 30106
07,"Travel Concession",5,"3,65","3,65","3,65",2011 02 103 AA 30107
08,City Compensatory Allowance,"38,58","39,71","39,71","42,15",2011 02 103 AA 30108
09,Honorarium,,1,1,1,2011 02 103 AA 30109
303,Dearness Allowance,"2,00,38","2,83,92","3,45,40","5,50,05",2011 02 103 AA 30300
01,Dearness Allowance,"2,00,38","2,83,92","3,45,40","5,50,05",2011 02 103 AA 30301
304,Travel Expenses,"21,01","38,57","38,57","38,57",2011 02 103 AA 30400
01,"Tour Travelling Allowance","21,01","38,56","38,56","38,56",2011 02 103 AA 30401
02,"Transfer Travelling Allowance",,1,1,1,2011 02 103 AA 30402
305,Office Expenses,"60,00","70,41","69,96","69,41",2011 02 103 AA 30500
01,"Telephone Charges","17,66","24,40","24,40","24,40",2011 02 103 AA 30501
02,Other Contingencies,"40,06","42,00","42,00","42,00",2011 02 103 AA 30502
04,"Service Postage & Postal Expenditure","2,00","4,00","3,00","3,00",2011 02 103 AA 30504
05,"Furniture",28,1,56,1,2011 02 103 AA 30505
308,Advertising and Publicity,"2,39",1,1,1,2011 02 103 AA 30800
01,Advertisement Charges,"2,39",1,1,1,2011 02 103 AA 30801
319,Machinery and Equipments,"21,37","1,01","11,83","2,74",2011 02 103 AA 31900
01,Purchase,"19,72",1,"9,10",1,2011 02 103 AA 31901
02,Renewal and Replacement,38,40,"2,13","2,13",2011 02 103 AA 31902
03,Maintenance,"1,27",60,60,60,2011 02 103 AA 31903
321,Motor Vehicles,,1,57,"15,15",57,2011 02 103 AA 32100
01,Purchase,,1,"14,59",1,2011 02 103 AA 32101
02,Maintenance of Functional Vehicles,1,16,16,16,2011 02 103 AA 32102
03,Hire Charges,,40,40,40,2011 02 103 AA 32103
324,Materials and Supplies,,1,1,1,2011 02 103 AA 32400
01,Materials and Supplies,,1,1,1,2011 02 103 AA 32401
333,Payments for Professional and Special Services,"3,94,36","4,45","84,20","18,45",2011 02 103 AA 33300
01,Pleaders Fees,"3,85,55","3,00","74,35","10,00",2011 02 103 AA 33301
04,Contract Payment,"8,81","1,45","9,85","8,45",2011 02 103 AA 33304
336,International Programmes,"6,17","7,00","7,00","7,00",2011 02 103 AA 33600
01,International Programmes,"6,17","7,00","7,00","7,00",2011 02 103 AA 33601
345,"Petroleum, Oil and Lubricant","5,62","10,33","7,92","8,45",2011 02 103 AA 34500
01,"Petroleum, Oil and Lubricant","5,62","10,33","7,92","8,45",2011 02 103 AA 34501
346,"Clothing, Tentage and Stores","1,05","4,90","4,90","4,90",2011 02 103 AA 34600
01,"Clothing, Tentage and Stores","1,05","4,90","4,90","4,90",2011 02 103 AA 34601
349,Festival Advances,- 59,,,,2011 02 103 AA 34900
01,Festival Advances-Debit,"11,30","20,00","40,00","40,00",2011 02 103 AA 34901
02,Festival Advances-Credit,"- 11,89","- 20,00","- 40,00","- 40,00",2011 02 103 AA 34902
351,Compensation Charged,,1,1,1,2011 02 103 AA 35100
52,Other Compensations Charged,,1,1,1,2011 02 103 AA 35152
359,"Prizes and Awards",32,30,30,30,2011 02 103 AA 35900
01,"Prizes and Awards",32,30,30,30,2011 02 103 AA 35901
364,Lands Charged,,1,1,1,2011 02 103 AA 36400
51,Lands Charged,,1,1,1,2011 02 103 AA 36451
368,"Cost of Books/Note Books/Slates, etc.","3,98","4,00","4,00","4,00",2011 02 103 AA 36800
01,"Cost of Books/Note Books/Slates, etc.","3,98","4,00","4,00","4,00",2011 02 103 AA 36801
371,"Printing Charges",,1,1,1,2011 02 103 AA 37100
01,"Printing Charges",,1,1,1,2011 02 103 AA 37101
376,Computer and Accessories,"9,05","13,46","13,46","13,46",2011 02 103 AA 37600
01,"Purchase",,1,1,1,2011 02 103 AA 37601
02,Maintenance,"3,31","7,45","7,45","7,45",2011 02 103 AA 37602
03,"Stationery","5,74","6,00","6,00","6,00",2011 02 103 AA 37603
AA,Total AA Charged,,2,2,2,
AA,Total AA Voted,"31,39,19","30,77,34","30,86,50","33,16,32",
#,"State's Expenditure Total Charged",,2,2,2,
#,"State's Expenditure Total Voted","31,39,19","30,77,34","30,86,50","33,16,32",
103,Total 103 Charged,,2,2,2,
103,Total 103 Voted,"31,39,19","30,77,34","30,86,50","33,16,32",
104,"Legislator's Hostel State's Expenditure",,,,,
AA,"Tamil Nadu Legislator's Hostel",,,,,2011 02 104 AA 30000
305,Office Expenses,"5,91","6,01","6,01","6,01",2011 02 104 AA 30500
02,Other Contingencies,"5,91","6,00","6,00","6,00",2011 02 104 AA 30502
03,"Electricity Charges",,1,1,1,2011 02 104 AA 30503
308,Advertising and Publicity,,1,1,1,2011 02 104 AA 30800
01,Advertisement Charges,,1,1,1,2011 02 104 AA 30801
318,Maintenance,40,"1,50","1,50","1,50",2011 02 104 AA 31800
01,"Periodical Maintenance",40,"1,50","1,50","1,50",2011 02 104 AA 31801
319,Machinery and Equipments,"12,60",2,"1,36",2,2011 02 104 AA 31900
01,"Purchase","12,60",1,1,1,2011 02 104 AA 31901
03,Maintenance,,1,"1,35",1,2011 02 104 AA 31903
AA,Total AA,"18,91","7,54","8,88","7,54",
#"State's Expenditure Total","18,91","7,54","8,88","7,54",
104,Total 104,"18,91","7,54","8,88","7,54",
911,"Deduct - Recoveries of Overpayments State's Expenditure",,,,,
AA,"Tamil Nadu Legislator's Hostel",,,,,2011 02 911 AA 30000
377,Deduct-Recoveries,- 49,,- 2,,2011 02 911 AA 37700
02,Recoveries of Overpayments / Remittance of excess drawals,- 49,,- 2,,2011 02 911 AA 37702
AA,Total AA,- 49,,- 2,,
AB,State Legislative Assembly Secretariat,,,,,,2011 02 911 AB 30000
377,Deduct-Recoveries,,,,- 36,,2011 02 911 AB 37700
02,Recoveries of,,,,- 36,,2011 02 911 AB 37702
Overpayments / Remittance of excess drawals
AB,Total AB,,,,- 36,,
#,State's Expenditure Total,,,- 49,,- 38,,
911,Total 911,,,- 49,,- 38,,
02,Total 02 Charged,"45,40","58,88","64,24","57,74",
02,Total 02 Voted,"60,27,46","60,03,63","59,50,82","62,42,62",
2011,Total 2011 Charged,"45,40","58,88","64,24","57,74",
2011,Total 2011 Voted,"60,27,46","60,03,63","59,50,82","62,42,62",
2059,PUBLIC WORKS,,,,,,
01,Office Buildings,,,,,,
053,Maintenance and Repairs,,,,,,
#,"State's Expenditure" ,,,,,,
BO,Buildings - Legislative Assembly Secretariat (Administered by Chief Engineer (Buildings)),,,,,2059 01 053 BO 30000
317,Minor Works,,"1,15,60",1,1,1,2059 01 053 BO 31700
01,Minor Works,,"1,15,60",1,1,1,2059 01 053 BO 31701
318,Maintenance,,"59,79","60,00","95,84","63,00",2059 01 053 BO 31800
01,Periodical Maintenance,"59,79","60,00","95,84","63,00",2059 01 053 BO 31801
BO,Total BO,"1,75,39","60,01","95,85","63,01",
CD,"Maintenance of 234 MLA Offices (Administered by Chief Engineer (Buildings))",,,,,2059 01 053 CD 30000
305,Office Expenses,,"28,43","40,00","52,37","50,00",2059 01 053 CD 30500
03,Electricity Charges,"28,43","40,00","52,37","50,00",2059 01 053 CD 30503
306,"Rent, Rates and Taxes","1,77","6,00","36,49","36,00",2059 01 053 CD 30600
02,Property tax,"1,67","5,00","31,29","35,00",2059 01 053 CD 30602
03,Water Charges,10,"1,00","5,20","1,00",2059 01 053 CD 30603
318,Maintenance,,"39,74","55,00","55,00","85,00",2059 01 053 CD 31800
01,Periodical Maintenance,"39,74","55,00","55,00","85,00",2059 01 053 CD 31801
CD,Total CD,"69,94","1,01,00","1,43,86","1,71,00",
#,"State's Expenditure Total","2,45,33","1,61,01","2,39,71","2,34,01",
053,Total 053,"2,45,33","1,61,01","2,39,71","2,34,01",
01,Total 01,"2,45,33","1,61,01","2,39,71","2,34,01",
2059,Total 2059,"2,45,33","1,61,01","2,39,71","2,34,01",
2235,SOCIAL SECURITY AND WELFARE,,,,,,
60,Other Social Security and Welfare Programmes,,,,,,
200,Other Programmes,,,,,
#,"State's Expenditure",,,,,
CU,"Free Bus Pass to Ex-Legislators",,,,,,2235 60 200 CU 30000
304,Travel Expenses,,,,,"1,65,60",2235 60 200 CU 30400
01,Tour Travelling Allowances,,,,"1,65,60",2235 60 200 CU 30401
CU,Total CU,,,,"1,65,60",
#,"State's Expenditure Total",,,,"1,65,60",
200,Total 200,,,,"1,65,60",
60,Total 60,,,,"1,65,60",
2235,Total 2235,,,,"1,65,60",
4059,CAPITAL OUTLAY ON PUBLIC WORKS,,,,,,
01,Office Buildings,,,,,
052,Machinery and Equipment,,,,,
#,"State's Expenditure" ,,,,,
AA,"Chiller plant with DX Air Handling unit (Air - Condition) to LAS",,,,,4059 01 052 AA 40000
416,Major Works,,,,"1,28,43",,4059 01 052 AA 41600
01,Major Works,,,"1,28,43",,4059 01 052 AA 41601
AA,Total,,,"1,28,43",,
#,"State's Expenditure Total",,,"1,28,43",,
052,Total 052,,,"1,28,43",,
01,Total 01,,,"1,28,43",,
4059,Total 4059,,,"1,28,43",,
7610-00,LOANS TO GOVERNMENT SERVANTS ETC.,,,,,
201,House Building Advances,,,,,
#"State's Expenditure" ,,,,,
AX,"Loans to Secretariat Employees for construction of houses - Legislative Assembly Secrtariat",,,,,7610 00 201 AX 50000
502,Loan - Outgo,"1,10,00",1,"79,38","50,00",7610 00 201 AX 50200
01,Bearing Interest,"1,10,00",1,"79,38","50,00",7610 00 201 AX 50201
AX,Total AX,"1,10,00",1,"79,38","50,00",
#"State's Expenditure Total","1,10,00",1,"79,38","50,00",
201,Total 201,"1,10,00",1,"79,38","50,00",
00,Total 00,"1,10,00",1,"79,38","50,00",
7610,Total 7610,"1,10,00",1,"79,38","50,00",
