2012,GOVERNOR/,,,,,
05,Furniture Charged,,1,1,1,2012 03 103 AF 30505
306,"Rent, Rates and Taxes" Charged,,25,25,26,2012 03 103 AF 30600
03,Water Charges Charged,,25,25,26,2012 03 103 AF 30603
319,Machinery and Equipments Charged,"5,88","6,41","6,41","6,62",2012 03 103 AF 31900
01,Purchase Charged,,1,1,1,2012 03 103 AF 31901
02,Renewal and Replacement Charged,"4,00","4,20","4,20","4,41",2012 03 103 AF 31902
03,Maintenance Charged,"1,88","2,20","2,20","2,20",2012 03 103 AF 31903
333,Payments for Professional and Special Services Charged,"2,12",1,"39,95","1,25,72",2012 03 103 AF 33300
01,Pleaders Fees Charged,,1,1,1,2012 03 103 AF 33301
04,Contract Payment Charged,"2,12",,"39,94","1,25,71",2012 03 103 AF 33304
349,Festival Advances Charged,- 42,,,,2012 03 103 AF 34900
01,Festival Advances-Debit Charged,"3,40","6,60","8,10","8,50",2012 03 103 AF 34901
02,Festival Advances-Credit Charged,"- 3,82","- 6,60","- 8,10","- 8,50",2012 03 103 AF 34902
359,Prizes and Awards Charged,"1,56",,1,1,2012 03 103 AF 35900
01,Prizes and Awards Charged,"1,56",,1,1,2012 03 103 AF 35901
376,Computer and Accessories Charged,"3,71","1,51","1,51","1,51",2012 03 103 AF 37600
01,Purchase Charged,"2,00",1,1,1,2012 03 103 AF 37601
03,Stationery Charged,"1,71","1,50","1,50","1,50",2012 03 103 AF 37603
AF,Total AF Charged,"5,98,47","6,78,75","6,55,19","6,98,94",
AH,Maintenance and Repairs of Furnishings,,,,,,,2012 03 103 AH 30000
305,Office Expenses Charged,39,"1,40","1,40","1,40",2012 03 103 AH 30500
02,Other Contingencies Charged,39,"1,40","1,40","1,40",2012 03 103 AH 30502
318,Maintenance Charged,"6,14","6,15","6,15","6,15",2012 03 103 AH 31800
09,Others Charged,"6,14","6,15","6,15","6,15",2012 03 103 AH 31809
AH,Total AH Charged,"6,53","7,55","7,55","7,55",
AI,Garden Contingencies,,,,,,2012 03 103 AI 30000
318,Maintenance Charged,"11,99","12,00","12,00","12,00",2012 03 103 AI 31800
09,Others Charged,"11,99","12,00","12,00","12,00",2012 03 103 AI 31809
Total AI Charged,"11,99","12,00","12,00","12,00",
#State's Expenditure Total Charged,"6,16,99","6,98,30","6,74,74","7,18,49",
103,Total 103 Charged,"6,16,99","6,98,30","6,74,74","7,18,49",
104,Sumptuary Allowances,,,,,
#State's Expenditure,,,,,,
AB,Hospitality Grant,,,,,,2012 03 104 AB 30000
313,Hospitality / Entertainment Expenditure Charged,"30,22","45,75","45,75","45,75",2012 03 104 AB 31300
01,Hospitality / Entertainment Expenditure Charged,"30,22","45,75","45,75","45,75",2012 03 104 AB 31301
AB,Total AB Charged,"30,22","45,75","45,75","45,75",
#State's Expenditure Total Charged,"30,22","45,75","45,75","45,75",
Total 104 Charged,"30,22","45,75","45,75","45,75",
106,Entertainment Expenses,,,,,,
#State's Expenditure,,,,,,
AB,Entertainment Allowances,,,,,,2012 03 106 AB 30000
313,Hospitality / Entertainment Expenditure Charged,51,75,75,75,2012 03 106 AB 31300
01,Hospitality / Entertainment Expenditure Charged,51,75,75,75,2012 03 106 AB 31301
AB,Total AB Charged,51,75,75,75,
#State's Expenditure Total Charged,51,75,75,75,
Total 106 Charged,51,75,75,75,
107,"Expenditure from Contract Allowance State's Expenditure",,,,,,
AA,Contract Allowance,,,,,,2012 03 107 AA 30000
318,Maintenance Charged,"2,75","2,75","2,75","2,75",2012 03 107 AA 31800
09,Others Charged,"2,75","2,75","2,75","2,75",2012 03 107 AA 31809
321,Motor Vehicles Charged,"5,00","5,00","5,00","5,00",2012 03 107 AA 32100
02,Maintenance of Functional Vehicles Charged,"5,00","5,00","5,00","5,00",2012 03 107 AA 32102
334,Other Charges Charged,"1,00",50,50,50,2012 03 107 AA 33400
01,Other Items Charged,"1,00",50,50,50,2012 03 107 AA 33401
345,"Petroleum, Oil and" Charged,"25,00","24,00","24,00","24,00",2012 03 107 AA 34500
Lubricant,,,,,,
01,"Petroleum, Oil and",,,,,,
Lubricant Charged,"25,00","24,00","24,00","24,00",2012 03 107 AA 34501
346,"Clothing, Tentage and" Charged,"9,00","8,00","8,00","8,00",2012 03 107 AA 34600
Stores,,,,,,
01,"Clothing, Tentage and",,,,,,
Stores Charged,"9,00","8,00","8,00","8,00",2012 03 107 AA 34601
Total AA Charged,"42,75","40,25","40,25","40,25",
State\'s Expenditure Total Charged,"42,75","40,25","40,25","40,25",
Total 107 Charged,"42,75","40,25","40,25","40,25",
108,Tour Expenses,,,,,,
State's Expenditure,,,,,,
AA,Tour Expenses,,,,,,2012 03 108 AA 30000
304,Travel Expenses Charged,"67,81","50,00","50,00","50,00",2012 03 108 AA 30400
01,"Tour Travelling",,,,,,
Allowances Charged,"67,81","50,00","50,00","50,00",2012 03 108 AA 30401
Total AA Charged,"67,81","50,00","50,00","50,00",
State\'s Expenditure Total Charged,"67,81","50,00","50,00","50,00",
Total 108 Charged,"67,81","50,00","50,00","50,00",
800,Other Expenditure,,,,,
State's Expenditure,,,,,
AA,Purchase of Motor Car to the Governor,,,,,2012 03 800 AA 30000
321,Motor Vehicles Charged,,1,1,1,2012 03 800 AA 32100
01,"Purchase",,,,,
Charged,,1,1,1,2012 03 800 AA 32101
Total AA Charged,,1,1,1,
AB,Travel Expenses on Appointment and Retirement,,,,,2012 03 800 AB 30000
304,Travel Expenses Charged,,2,2,2,2012 03 800 AB 30400
01,Tour Travelling Allowances Charged,,2,2,2,2012 03 800 AB 30401
Total AB Charged,,2,2,2,
State\'s Expenditure Total Charged,,3,3,3,
Total 800 Charged,,3,3,3,
911,Deduct - Recoveries of Overpayments State's Expenditure,,,,,
AF,Household Establishment of the Governor,,,,,2012 03 911 AF 30000
377,Deduct-Recoveries,"- 4,82",,,,2012 03 911 AF 37700
02,Recoveries of Overpayments / Remittance of excess drawals,"- 4,82",,,,2012 03 911 AF 37702
AF,Total AF,"- 4,82",,,,
#State\'s Expenditure Total,"- 4,82",,,,
911,Total 911,"- 4,82",,,,
Total 03 Charged,"8,11,89","8,77,08","8,53,52","8,97,27",
Voted,"- 4,82",,,,
Total 2012 Charged,"8,11,89","8,77,08","8,53,52","8,97,27",
Voted,"- 4,82",,,,
2013-00,COUNCIL OF MINISTERS,,,,,
911,"Deduct - Recoveries of Overpayments State's Expenditure",,,,,
AA,Deduct - Recoveries of Overpayments ,,,,,2013 00 911 AA 30000
377,Deduct-Recoveries,- 26,,- 21,,2013 00 911 AA 37700
02,Recoveries of Overpayments / Remittance of excess drawals,- 26,,- 21,,2013 00 911 AA 37702
AA,Total AA,- 26,,- 21,,
#State\'s Expenditure Total,- 26,,- 21,,
911,Total 911,- 26,,- 21,,
00,Total 00,- 26,,- 21,,
2013,Total 2013,- 26,,- 21,,
2052-00,SECRETARIAT - GENERAL SERVICES,,,,,
911,"Deduct - Recoveries of Overpayments State's Expenditure",,,,,
AC,Deduct - Recoveries of Overpayments ,,,,,2052 00 911 AC 30000
377,Deduct-Recoveries,,,- 3,,2052 00 911 AC 37700
02,Recoveries of Overpayments / Remittance of excess drawals,,,- 3,,2052 00 911 AC 37702
AC,Total AC,,,- 3,,
#State's Expenditure Total,,,- 3,,
911,Total 911,,,- 3,,
00,Total 00,,,- 3,,
2052,Total 2052,,,- 3,,
2059,PUBLIC WORKS,,,,,
01,Office Buildings,,,,,
053,Maintenance and Repairs State's Expenditure,,,,,
AA,Residence of the Governor ,,,,,2059 01 053 AA 30000
318,Maintenance Charged,"81,06","93,22","93,19","93,22",2059 01 053 AA 31800
01,Periodical Maintenance Charged,"81,06","92,50","92,50","92,50",2059 01 053 AA 31801
04,Wages Charged,,72,69,72,2059 01 053 AA 31804
333,"Payments for Charged Professional and Special Services","4,86","5,50","5,50","5,50",2059 01 053 AA 33300
04,Contract Payment Charged,"4,86","5,50","5,50","5,50",2059 01 053 AA 33304
Total AA Charged,"85,92","98,72","98,69","98,72",
BK,Buildings - Governor's Residence (Administered by Chief Engineer (Buildings)),,,,,2059 01 053 BK 30000
305,Office Expenses,"26,52","51,00","51,00","51,00",2059 01 053 BK 30500
03,"Electricity Charges","26,52","51,00","51,00","51,00",2059 01 053 BK 30503
306,"Rent, Rates and Taxes","66,00","66,01","66,01","66,01",2059 01 053 BK 30600
03,Water Charges,"66,00","66,00","66,00","66,00",2059 01 053 BK 30603
04,"Lease for Land",,1,1,1,2059 01 053 BK 30604
318,Maintenance,"3,37,75","3,60,00","3,52,00","3,70,00",2059 01 053 BK 31800
01,"Periodical Maintenance","3,37,75","3,60,00","3,52,00","3,70,00",2059 01 053 BK 31801
333,"Payments for Professional and Special Services","2,48","3,30","3,30","3,30",2059 01 053 BK 33300
04,Contract Payment,"2,48","3,30","3,30","3,30",2059 01 053 BK 33304
BK,Total BK,"4,32,75","4,80,31","4,72,31","4,90,31"
#State's Expenditure Total Charged,"85,92","98,72","98,69","98,72"
#State's Expenditure Voted,"4,32,75","4,80,31","4,72,31","4,90,31"
053,Total 053 Charged,"85,92","98,72","98,69","98,72"
053,Total Voted,"4,32,75","4,80,31","4,72,31","4,90,31"
01,Total 01 Charged,"85,92","98,72","98,69","98,72"
01,Total 01 Voted,"4,32,75","4,80,31","4,72,31","4,90,31"
2059,Total 2059 Charged,"85,92","98,72","98,69","98,72"
2059,Total 2059 Voted,"4,32,75","4,80,31","4,72,31","4,90,31"
