0039-00,STATE EXCISE,,,,,
,Total AC,"1,38,72","2,01,63","2,01,63","2,51,80"
AD,Deduct - Refunds [3701],,,,,
277,Deduct / Refunds,10,5,5,6,"0039 00 150 AD 27700"
99,Others,10,5,5,6,"0039 00 150 AD 27799"
,Total AD,10,5,5,6
AE,Receipts of loan amount recovered from the Prohibition offenders [3701],,,,,
215,"Levy, Cess, Surcharge, etc. on Taxes","20,93","37,67","37,67","41,44","0039 00 150 AE 21500"
31,State Excise,"20,93","37,67","37,67","41,44","0039 00 150 AE 21531"
,Total AE,"20,93","37,67","37,67","41,44"
,Total 150,"3,40,07","5,38,70","5,38,70","6,22,59"
501,Services and Service Fees,,,,,
AA,Contributions towards Leave Salary - Officers lent on Foreign Service [3701],,,,,
215,"Levy, Cess, Surcharge, etc. on Taxes","88,89","93,94","93,94","1,03,34","0039 00 501 AA 21500"
31,State Excise,"88,89","93,94","93,94","1,03,34","0039 00 501 AA 21531"
,Total AA,"88,89","93,94","93,94","1,03,34"
AB,Cost of Establishment Charges [3701],,,,,
215,"Levy, Cess, Surcharge, etc. on Taxes","11,27,62","12,49,44","12,49,44","13,74,39","0039 00 501 AB 21500"
31,State Excise,"11,27,62","12,49,44","12,49,44","13,74,39","0039 00 501 AB 21531"
,Total AB,"11,27,62","12,49,44","12,49,44","13,74,39"
AC,Payment of Administrative Service Fee [3701],,,,,
215,"Levy, Cess, Surcharge, etc. on Taxes","8,77,10","11,77,35","11,77,35","12,95,09","0039 00 501 AC 21500"
31,State Excise,"8,77,10","11,77,35","11,77,35","12,95,09","0039 00 501 AC 21531"
,Total AC,"8,77,10","11,77,35","11,77,35","12,95,09"
AD,Export Fees [3701],,,,,
215,"Levy, Cess, Surcharge, etc. on Taxes","5,90,95","5,40,88","5,40,88","5,94,97","0039 00 501 AD 21500"
31,State Excise,"5,90,95","5,40,88","5,40,88","5,94,97","0039 00 501 AD 21531"
,Total AD,"5,90,95","5,40,88","5,40,88","5,94,97"
,Total 501,"26,84,56","30,61,61","30,61,61","33,67,79"
800,Other Receipts,,,,,
AC,Molasses Licence Fees [3701],,,,,
216,Taxation Fees,"96,66",...,...,...,"0039 00 800 AC 21600"
34,Licence Fee,"96,66",...,...,...,"0039 00 800 AC 21634"
,Total AC,"96,66",...,...,...
AD,Miscellaneous [3701],,,,,
215,"Levy, Cess, Surcharge, etc. on Taxes","1,20,44","1,87,64","1,87,64","2,06,41","0039 00 800 AD 21500"
99,Others,"1,20,44","1,87,64","1,87,64","2,06,41","0039 00 800 AD 21599"
,Total AD,"1,20,44","1,87,64","1,87,64","2,06,41"
AE,"Fees for Permits for Personal Consumption of Liquor under Tamil Nadu Prohibition Act, 1937 [3701]",,,,,
215,"Levy, Cess, Surcharge, etc. on Taxes","3,37","1,19","1,19","1,31","0039 00 800 AE 21500"
31,State Excise,"3,37","1,19","1,19","1,31","0039 00 800 AE 21531"
,Total AE,"3,37","1,19","1,19","1,31"
AF,"Licence Fee under the Spirituous Essences Rules, Choloro Hydrate and other Rules [3701]",,,,,
215,"Levy, Cess, Surcharge, etc. on Taxes","1,99",82,82,91","0039 00 800 AF 21500"
31,State Excise,"1,99",82,82,91","0039 00 800 AF 21531"
,Total AF,"1,99",82,82,91
AJ,Cost of Labels [3701],,,,,
215,"Levy, Cess, Surcharge, etc. on Taxes","108,86,45","111,79,78","111,79,78","122,97,76","0039 00 800 AJ 21500"
31,State Excise,"108,86,45","111,79,78","111,79,78","122,97,76","0039 00 800 AJ 21531"
,Total AJ,"108,86,45","111,79,78","111,79,78","122,97,76"
,"AN Collection of Registration,Renewal and Label fees [3701]",,,,,
215,"Levy, Cess, Surcharge, etc. on Taxes","5,62,46","5,42,25","5,42,25","6,96,48","0039 00 800 AN 21500"
31,State Excise,"5,62,46","5,42,25","5,42,25","6,96,48","0039 00 800 AN 21531"
,Total AN,"5,62,46","5,42,25","5,42,25","6,96,48"
AO,Special fees on liquor imported from other States and from other Countries [3701],,,,,
215,"Levy, Cess, Surcharge, etc. on Taxes","24,51,22","21,10,37","21,10,37","23,21,41","0039 00 800 AO 21500"
31,State Excise,"24,51,22","21,10,37","21,10,37","23,21,41","0039 00 800 AO 21531"
,Total AO,"24,51,22","21,10,37","21,10,37","23,21,41"
AQ,Licence fees for the possession and sale of molasses [3701],,,,,
216,Taxation Fees,"13,04","13,27","13,27","14,60","0039 00 800 AQ 21600"
34,Licence Fee,"13,04","13,27","13,27","14,60","0039 00 800 AQ 21634"
,Total AQ,"13,04","13,27","13,27","14,60"
AR,Licence fees for the possession and use of molasses [3701],,,,,
216,Taxation Fees,"31,95","1,85,26","1,85,26","2,03,79","0039 00 800 AR 21600"
34,Licence Fee,"31,95","1,85,26","1,85,26","2,03,79","0039 00 800 AR 21634"
,Total AR,"31,95","1,85,26","1,85,26","2,03,79"
,Total 800,"141,67,58","142,20,58","142,20,58","157,42,67"
,Total 0039,"6,863,12,04","7,262,32,56","7,262,32,77","8,133,80,47"
