colnp,full,start,end,Term in Months,district
66,Thiru. G. Govindaraj I.A.S ,2016-01-22T00:00:00Z,2016-07-28T00:00:00Z,6,Chennai
65,"Tmt. E. Sundaravalli, IAS ",2013-03-04T00:00:00Z,2016-01-21T00:00:00Z,34,Chennai
64,Tmt. R. Seethalakshmi,2012-11-20T00:00:00Z,2013-03-03T00:00:00Z,3,Chennai
63,"Thiru J. Jeyakanthan, IAS ",2012-10-05T00:00:00Z,2012-11-19T00:00:00Z,1,Chennai
62,"Tmt. S. Jayandhi, IAS ",2012-03-07T00:00:00Z,2012-10-01T00:00:00Z,6,Chennai
61,Thiru K.A. Annamalai,2012-01-28T00:00:00Z,2012-03-06T00:00:00Z,1,Chennai
60,"Tmt. S. Madumathi, IAS ",2012-01-25T00:00:00Z,2012-01-27T00:00:00Z,0,Chennai
59,Thiru K.A. Annamalai,2011-06-07T00:00:00Z,2012-01-24T00:00:00Z,7,Chennai
58,Tmt. V.Shobana IAS ,2009-06-04T00:00:00Z,2011-06-06T00:00:00Z,24,Chennai
57,Tmt. Mythili K. Rajendran IAS ,2008-09-15T00:00:00Z,2009-06-01T00:00:00Z,8,Chennai
56,Tmt.Kakarla Usha IAS ,2008-06-04T00:00:00Z,2008-09-14T00:00:00Z,3,Chennai
55,Tmt. R Jaya IAS ,2006-05-22T00:00:00Z,2008-04-20T00:00:00Z,22,Chennai
54,Thiru N Muruganandam IAS ,2005-12-20T00:00:00Z,2006-05-22T00:00:00Z,5,Chennai
53,Thiru S Chandramohan IAS ,2005-02-18T00:00:00Z,2005-12-19T00:00:00Z,10,Chennai
52,Thiru V.Kannuchamy I.A.S ,2004-06-02T00:00:00Z,2005-02-17T00:00:00Z,8,Chennai
51,Dr. M. Rajaram I.A.S ,2004-04-19T00:00:00Z,2004-06-01T00:00:00Z,1,Chennai
50,Thiru V.Kannuchamy I.A.S ,2003-10-01T00:00:00Z,2004-04-18T00:00:00Z,6,Chennai
49,"Thiru A.Abdul Salam, I.A.S ",2001-06-07T00:00:00Z,2003-10-01T00:00:00Z,27,Chennai
48,"Thiru K.Subramanian, I.A.S ",2001-01-19T00:00:00Z,2001-06-07T00:00:00Z,4,Chennai
47,"Tmt Anita Praveen, I.A.S ",1999-05-20T00:00:00Z,2001-01-19T00:00:00Z,19,Chennai
46,"Thiru A.Sugumaran, I.A.S ",1997-10-27T00:00:00Z,1999-05-19T00:00:00Z,18,Chennai
45,"Tmt D.Sabitha, I.A.S ",1997-05-08T00:00:00Z,1997-10-27T00:00:00Z,5,Chennai
44,"Tmt Shanthini Kapoor, I.A.S ",1995-06-09T00:00:00Z,1997-05-08T00:00:00Z,22,Chennai
43,"Thiru R.Kuppuswamy, I.A.S ",1993-10-21T00:00:00Z,1995-06-09T00:00:00Z,19,Chennai
42,"Thiru M.Raman, I.A.S ",1993-01-25T00:00:00Z,1993-10-21T05:30:00Z,8,Chennai
41,"Thiru K.Ganesan, I.A.S ",1992-11-13T00:00:00Z,1993-01-25T00:00:00Z,2,Chennai
40,"Tmt Jayasree Balachander, I.A.S ",1991-10-11T00:00:00Z,1992-10-12T00:00:00Z,12,Chennai
136,"V.P. Thandapani,I.A.S., ",2018-02-22T00:00:00Z,Till date,,Cuddalore
135,"PRASHANT M.WADNERE,I.A.S., ",2017-08-31T00:00:00Z,2018-02-21T00:00:00Z,5,Cuddalore
134,"T.P.RAJESH,I.A.S., ",2016-09-10T00:00:00Z,2017-08-31T00:00:00Z,11,Cuddalore
133,"A.GNANASEKARAN,I.A.S., ",2016-07-31T00:00:00Z,2016-09-09T00:00:00Z,1,Cuddalore
132,"G.VIJAYA,M.A.,I/C ",2016-06-21T00:00:00Z,2016-07-31T00:00:00Z,1,Cuddalore
131,"S.SURESHKUMAR,I.A.S., ",2014-06-07T00:00:00Z,2016-06-21T00:00:00Z,24,Cuddalore
130,"R.KIRLOSH KUMAR,I.A.S., ",2012-12-15T00:00:00Z,2014-06-07T00:00:00Z,17,Cuddalore
129,"RAJENDRA RATNOO,I.A.S., ",2012-01-21T00:00:00Z,2012-12-15T00:00:00Z,10,Cuddalore
128,"V.AMUTHAVALLI,I.A.S., ",2011-06-03T00:00:00Z,2012-01-21T00:00:00Z,7,Cuddalore
127,"C.RAJENDIRAN,I/C ",2011-06-01T00:00:00Z,2011-06-02T00:00:00Z,0,Cuddalore
126,"P.SEETHARAMAN,I.A.S., ",2009-06-03T00:00:00Z,2011-05-31T00:00:00Z,23,Cuddalore
125,"RAJENDRA RATNOO,I.A.S., ",2007-01-05T00:00:00Z,2009-06-03T00:00:00Z,28,Cuddalore
124,"GAGANDEEP SINGH BEDI,I.A.S., ",2003-07-16T00:00:00Z,2007-01-05T00:00:00Z,41,Cuddalore
123,"C.THANGASAMI,I.A.S., ",2001-06-10T00:00:00Z,2003-07-15T00:00:00Z,25,Cuddalore
122,"SANDEEP SAXENA,I.A.S., ",1998-04-25T00:00:00Z,2001-06-10T00:00:00Z,37,Cuddalore
121,"OTEM DAI,I.A.S., ",1997-03-05T00:00:00Z,1998-04-24T00:00:00Z,13,Cuddalore
120,"ASHOK RANJAN MOHNATY,I.A.S., ",1996-06-06T00:00:00Z,1997-03-05T00:00:00Z,8,Cuddalore
119,"P.SHANMUGAM,I.A.S., ",1995-04-14T00:00:00Z,1996-06-06T00:00:00Z,13,Cuddalore
118,"DR.T.PRABHAKARA RAO,I.A.S., ",1993-09-11T00:00:00Z,1995-04-13T00:00:00Z,19,Cuddalore
117,"G.RAMAKRISHNAN,I.A.S., ",1991-03-22T00:00:00Z,1993-09-07T00:00:00Z,29,Cuddalore
14,S. Malarvizhi I.A.S ,2018-02-26T00:00:00Z,Present Collector,,Dharmapuri
13,K. Vivekanandan I.A.S ,2017-08-13T00:00:00Z,2018-02-25T00:00:00Z,6,Dharmapuri
12,A. Sankar M.Sc. ( i/c ) ,2017-07-03T00:00:00Z,2017-08-12T00:00:00Z,1,Dharmapuri
11,K. Vivekanandan I.A.S ,2013-07-07T00:00:00Z,2017-07-02T00:00:00Z,47,Dharmapuri
10,R. Lilly I.A.S ,2011-06-08T00:00:00Z,2013-07-07T00:00:00Z,24,Dharmapuri
9,S. Ganesh (i/c) ,2011-06-03T00:00:00Z,2011-06-08T00:00:00Z,0,Dharmapuri
8,Dr. R. Anandakumar I.A.S ,2010-10-01T00:00:00Z,2011-06-03T00:00:00Z,8,Dharmapuri
7,P. Amudha I.A.S ,2007-11-07T00:00:00Z,2010-10-01T00:00:00Z,34,Dharmapuri
6,R. Nagarajan (i/c) ,2007-10-20T00:00:00Z,2007-11-07T00:00:00Z,0,Dharmapuri
5,Pankaj Kumar Bansal I.A.S ,2006-09-08T00:00:00Z,2007-10-20T00:00:00Z,13,Dharmapuri
4,M. Chanadrasekaran I.A.S ,2005-10-23T00:00:00Z,2006-09-08T00:00:00Z,10,Dharmapuri
3,Sudeep Jain I.A.S ,2005-02-21T00:00:00Z,2005-10-23T00:00:00Z,8,Dharmapuri
2,Ashish Vachhani I.A.S ,2004-06-02T00:00:00Z,2005-02-21T00:00:00Z,8,Dharmapuri
1,M.A.Siddique I.A.S ,2002-06-15T00:00:00Z,2004-06-02T00:00:00Z,23,Dharmapuri
26,Tmt. M. Vijaya Lakshmi IAS ,2019-07-01T00:00:00Z,Till Date,,Dindigul
25.,Thiru Dr.T.G.Vinay IAS ,2016-07-31T00:00:00Z,2019-06-30T00:00:00Z,34,Dindigul
24.,Thiru T.N.Hariharan IAS ,2016-06-04T00:00:00Z,2016-07-05T00:00:00Z,1,Dindigul
23.,Thiru K.Veera Raghava Rao IAS (FAC) ,2016-05-31T00:00:00Z,2016-06-04T00:00:00Z,0,Dindigul
22.,Thiru Satyabrata Sahoo IAS ,2016-04-24T00:00:00Z,2016-05-24T00:00:00Z,1,Dindigul
21,Thiru T.N.Hariharan IAS ,2014-12-28T00:00:00Z,2016-04-24T00:00:00Z,15,Dindigul
20,Thiru N.Venkatachalam IAS ,2012-02-29T00:00:00Z,2014-12-28T00:00:00Z,33,Dindigul
19.,Thiru K.Nagarajan IAS ,2011-06-06T00:00:00Z,2012-02-29T00:00:00Z,8,Dindigul
18,Thiru M.Vallalar IAS ,2009-07-02T00:00:00Z,2011-06-05T00:00:00Z,23,Dindigul
17,Thiru R.Kirlosh Kumar IAS ,2009-02-21T00:00:00Z,2009-07-02T00:00:00Z,4,Dindigul
16,Tmt. R.Vasuki IAS ,2007-11-07T00:00:00Z,2009-02-21T00:00:00Z,15,Dindigul
15,Tmt. P.Amudha IAS ,2007-10-01T00:00:00Z,2007-11-05T00:00:00Z,1,Dindigul
14,Tmt. R.Vasuki IAS ,2006-05-24T00:00:00Z,2007-09-08T00:00:00Z,15,Dindigul
13,Thiru S.Murugaiah IAS ,2004-06-04T00:00:00Z,2006-05-23T00:00:00Z,23,Dindigul
12,Thiru Dr.P.Senthilkumar IAS ,2002-03-28T00:00:00Z,2004-06-03T00:00:00Z,26,Dindigul
11,Thiru R.Thiyagarajan IAS ,2001-06-11T00:00:00Z,2002-03-25T00:00:00Z,9,Dindigul
10,Thiru Harmander Singh IAS ,2000-05-01T00:00:00Z,2001-06-11T00:00:00Z,13,Dindigul
9.,Thiru A.S.Jeevarathinam IAS ,1998-05-10T00:00:00Z,2000-05-01T00:00:00Z,23,Dindigul
8.,Thiru Vikaram Kapur IAS ,1997-05-19T00:00:00Z,1998-05-09T00:00:00Z,11,Dindigul
7.,Thiru C.Chandra Mouli IAS ,1996-06-03T00:00:00Z,1997-05-18T00:00:00Z,11,Dindigul
6.,Thiru T.Pitchandi IAS ,1994-01-31T00:00:00Z,1996-06-02T00:00:00Z,28,Dindigul
5.,Thiru Rameshram Mishra IAS ,1992-02-27T00:00:00Z,1994-01-02T00:00:00Z,22,Dindigul
4.,Thiru Prithiviraj Langtaasa IAS ,1991-07-25T00:00:00Z,1992-02-26T00:00:00Z,7,Dindigul
9,"Shri R. Kannan, I.A.S. ",1991-07-17T00:00:00Z,1993-09-22T00:00:00Z,26,Erode
10,"Shri N.S.Palaniappan,I.A.S. ",1993-09-22T00:00:00Z,1996-06-22T00:00:00Z,33,Erode
11,Shri K. Sellamuthu M.A.(Addl.Charge) ,1996-06-23T00:00:00Z,1996-06-26T00:00:00Z,0,Erode
12,"Shri. R.S.Kannan, I.A.S. ",1996-06-26T00:00:00Z,1997-02-15T00:00:00Z,7,Erode
13,"Shri.R.Kannappan, M.A. (Addl.Charge) ",1997-02-16T00:00:00Z,1997-02-23T00:00:00Z,0,Erode
14,"Shri Apurva Varma, I.A.S ",1997-02-24T00:00:00Z,1998-12-08T00:00:00Z,21,Erode
15,"Shri S. Karuthiah Pandian, I.A.S ",1998-12-09T00:00:00Z,2001-06-09T00:00:00Z,30,Erode
16,"Shri Ka. Balachandran, I.A.S ",2001-06-10T00:00:00Z,2004-05-31T00:00:00Z,35,Erode
17,"Shri Dr. D.Karthikeyan, I.A.S. ",2004-06-01T00:00:00Z,2007-02-23T00:00:00Z,32,Erode
18,"Shri T Udhayachandran, I.A.S. ",2007-02-23T00:00:00Z,2008-04-18T00:00:00Z,13,Erode
19,Shri S. Manoharan M.A.(History) M.A.(Public Administration) (Addl. Incharge) ,2008-04-19T00:00:00Z,2008-05-01T00:00:00Z,0,Erode
20,"Shri Mahesan Kasirajan, I.A.S. ",2008-05-02T00:00:00Z,2009-05-31T00:00:00Z,12,Erode
21,Shri M. Mayakrishnan (Addl. Incharge) ,2009-06-01T00:00:00Z,2009-06-03T00:00:00Z,0,Erode
22,"Shri R.Sudalaikannan, I.A.S. ",2009-06-04T00:00:00Z,2010-09-17T00:00:00Z,15,Erode
23,"Shri P. Kumaravel Pandian, B.Sc.,(Addl. Incharge) ",2010-09-18T00:00:00Z,2010-10-06T00:00:00Z,0,Erode
24,"Shri T. Soundaiah, I.A.S. ",2010-10-07T00:00:00Z,2011-03-23T00:00:00Z,5,Erode
25,"Shri C. Kamaraj, I.A.S. ",2011-03-23T00:00:00Z,2011-06-03T00:00:00Z,2,Erode
26,"Shri Dr. R. Anandakumar, I.A.S. ",2011-06-03T00:00:00Z,2011-07-15T00:00:00Z,1,Erode
27,Smt. S.P. Karthika B.E. (Addl.Incharge) ,2011-07-15T00:00:00Z,2011-07-18T00:00:00Z,0,Erode
28,"Shri C. Kamaraj, I.A.S. ",2011-07-18T00:00:00Z,2011-09-29T00:00:00Z,2,Erode
29,"Shri Dr. V K Shanmugam, I.A.S. ",2011-09-30T00:00:00Z,2014-04-08T00:00:00Z,30,Erode
30,"Tmt.S.Madumathi, I.A.S. ",2014-04-08T00:00:00Z,2014-05-23T00:00:00Z,1,Erode
31,"Shri Dr. V K Shanmugam, I.A.S. ",2014-05-23T00:00:00Z,2014-09-23T00:00:00Z,4,Erode
32,"Shri Dr. S.Prabhakar, I.A.S. ",2014-09-24T00:00:00Z,2018-08-29T00:00:00Z,47,Erode
33,"Shri. C.Kathiravan, I.A.S. ",2018-08-30T00:00:00Z,Till date,,Erode
58,"Thiru P. Ponniah I.A.S., ",,,,Kancheepuram
57,"Tmt. R.Gajalakshmi I.A.S., ",2015-10-11T00:00:00Z,2017-03-09T00:00:00Z,16,Kancheepuram
56,"Thiru K.Sowrirajan M.Sc., DRO(I/C) ",2015-09-30T00:00:00Z,2015-10-11T00:00:00Z,0,Kancheepuram
55,"Dr. V.K.Shanmugam I.A.S., ",2014-09-23T00:00:00Z,2015-09-30T00:00:00Z,12,Kancheepuram
54,"Thiru K.Baskaran I.A.S., ",2013-10-23T00:00:00Z,2014-09-23T00:00:00Z,11,Kancheepuram
53,Thiru M.Sampathkumar DRO(IC) ,2013-10-11T00:00:00Z,2013-10-22T00:00:00Z,0,Kancheepuram
52,"Thiru L.Sitherasenan I.A.S., ",2012-09-07T00:00:00Z,2013-10-11T00:00:00Z,13,Kancheepuram
51,"Thiru Hanish Chhabra I.A.S., ",2012-01-13T00:00:00Z,2012-09-07T00:00:00Z,7,Kancheepuram
50,Thiru S.R.Sudharsan DRO(IC) ,2011-12-17T00:00:00Z,2012-01-13T00:00:00Z,0,Kancheepuram
49,"Thiru S.Sivashanmuga Raja I.A.S., ",2011-06-03T00:00:00Z,2011-12-16T00:00:00Z,6,Kancheepuram
48,"Thiru Ashish Chatterjee I.A.S., ",2010-09-30T00:00:00Z,2011-06-03T00:00:00Z,8,Kancheepuram
47,"Thiru Santosh K.Misra I.A.S., ",2007-11-07T00:00:00Z,2010-09-30T00:00:00Z,34,Kancheepuram
46,"Thiru Pradeep Yadav I.A.S., ",2006-05-25T00:00:00Z,2007-11-06T00:00:00Z,17,Kancheepuram
45,"Thiru R.Venkatesan I.A.S., ",2003-03-10T00:00:00Z,2006-05-24T00:00:00Z,38,Kancheepuram
44,"Thiru K.Rajaraman I.A.S., ",2001-06-07T00:00:00Z,2003-03-04T00:00:00Z,20,Kancheepuram
43,"Thiru A.Sukumaran I.A.S., ",1999-05-19T00:00:00Z,2001-06-07T00:00:00Z,24,Kancheepuram
42,"Thiru V.Iraianbu I.A.S., ",1997-07-16T00:00:00Z,1999-05-18T00:00:00Z,22,Kancheepuram
41,"Thiru K.Rajamanickam I.A.S., ",1997-01-01T00:00:00Z,1997-07-14T00:00:00Z,6,Kancheepuram
40,"Thiru P.Ramamohanarao I.A.S., ",1994-01-01T00:00:00Z,1996-01-01T00:00:00Z,24,Kancheepuram
39,"Dr.V.Varaprasada Rao I.A.S., ",1993-01-01T00:00:00Z,1994-01-01T00:00:00Z,12,Kancheepuram
38,"Thiru K.Gnanadesikan I.A.S., ",1992-01-01T00:00:00Z,1993-01-01T00:00:00Z,12,Kancheepuram
37,"Tmt. M.Sheelapriya I.A.S., ",1991-01-01T00:00:00Z,1992-01-01T00:00:00Z,12,Kancheepuram
50,"Mr.Prashant M. Wadnere,I.A.S ",2018-02-23T00:00:00Z,Present Collector,,Kanyakumari
49,"Mr.Sajjan Singh R Chavan,I.A.S. ",2014-09-24T00:00:00Z,2018-02-23T00:00:00Z,40,Kanyakumari
48,"Mr.S Nagarajan,I.A.S. ",2012-01-20T00:00:00Z,2014-09-23T00:00:00Z,32,Kanyakumari
47,"Tmt.S. Madhumathi,I.A.S. ",2011-08-03T00:00:00Z,2012-01-09T00:00:00Z,5,Kanyakumari
46,"Mr.Ashish Kumar,I.A.S. ",2011-06-07T00:00:00Z,2011-07-27T00:00:00Z,1,Kanyakumari
45,"Mr.RajendraRatnoo,I.A.S. ",2009-06-05T00:00:00Z,2011-06-05T00:00:00Z,24,Kanyakumari
44,"Dr.Rajendra Kumar,I.A.S. ",2008-11-10T00:00:00Z,2009-06-04T00:00:00Z,6,Kanyakumari
43,"Tmt.B. Jothi Nirmala,I.A.S. ",2008-02-25T00:00:00Z,2008-11-10T00:00:00Z,8,Kanyakumari
42,"Mr.ShunchonngamJatakChiru,I.A.S. ",2007-10-08T00:00:00Z,2008-02-24T00:00:00Z,4,Kanyakumari
41,"Mr.Devraj Dev,I.A.S. ",2007-06-11T00:00:00Z,2007-10-08T00:00:00Z,3,Kanyakumari
40,"Tmt.B.Jothi Nirmala,I.A.S.* ",2007-04-26T00:00:00Z,2007-06-10T00:00:00Z,1,Kanyakumari
39,"Dr S. Swarna,I.A.S. ",2007-02-12T00:00:00Z,2007-04-26T00:00:00Z,2,Kanyakumari
38,"Mr.SunilPaliwal,I.A.S. ",2005-01-08T00:00:00Z,2007-02-12T00:00:00Z,25,Kanyakumari
37,"Mr.Ramesh Chand Meena,I.A.S. ",2004-11-26T00:00:00Z,2005-01-08T00:00:00Z,1,Kanyakumari
36,"Mr.RajeshLakhoni,I.A.S. ",2003-07-16T00:00:00Z,2004-11-21T00:00:00Z,16,Kanyakumari
35,"Mr.Gagandeep Singh Bedi,I.A.S. ",2001-06-11T00:00:00Z,2003-07-15T00:00:00Z,25,Kanyakumari
34,"Mr.K.Balachandran,I.A.S. ",2001-02-26T00:00:00Z,2001-06-05T00:00:00Z,3,Kanyakumari
33,"Mr.Ramesh Chand Meena,I.A.S. ",2000-04-24T00:00:00Z,2001-02-03T00:00:00Z,9,Kanyakumari
32,"Mr.Pandian,I.A.S. ",1998-05-18T00:00:00Z,2000-04-23T00:00:00Z,23,Kanyakumari
31,"Mr.VishwanathShekhawker,I.A.S. ",1996-06-01T00:00:00Z,1998-05-11T00:00:00Z,23,Kanyakumari
30,"Mr.A.Panneerselvam,I.A.S. ",1995-10-27T00:00:00Z,1996-05-31T00:00:00Z,7,Kanyakumari
29,"Mr.R. Rajagopal,I.A.S. ",1994-10-31T00:00:00Z,1995-10-26T00:00:00Z,11,Kanyakumari
28,"Mr.Ambuj Sharma,I.A.S. ",1993-05-21T00:00:00Z,1994-09-25T00:00:00Z,16,Kanyakumari
27,"Mr.RajivNayanChoubey,I.A.S. ",1991-02-24T00:00:00Z,1993-05-20T00:00:00Z,26,Kanyakumari
15,"Thiru. T. Anbalagan, IAS., ",2018-03-02T00:00:00Z,,,Karur
14,"Thiru.G. Govindaraj, IAS., ",2016-07-31T00:00:00Z,2018-02-26T00:00:00Z,18,Karur
13,"Tmt. Kakarla Usha, IAS., ",2016-05-02T00:00:00Z,2016-07-27T00:00:00Z,2,Karur
12,"Thiru. T.P. Rajesh, IAS., ",2016-01-22T00:00:00Z,2016-04-30T00:00:00Z,3,Karur
11,"Tmt. S. Jayandhi, IAS., ",2012-10-03T00:00:00Z,2016-01-21T00:00:00Z,39,Karur
10,"Tmt.V. Shobana, IAS., ",2011-06-08T00:00:00Z,2012-10-01T00:00:00Z,15,Karur
9,"Dr. Tmt.J.Uma Maheshwari, IAS., ",2008-11-10T00:00:00Z,2011-06-03T00:00:00Z,30,Karur
8,"Thiru.T.N. Venkatesh, IAS., ",2006-09-11T00:00:00Z,2008-11-08T00:00:00Z,25,Karur
7,"Dr.B. Chandra Mohan, IAS., ",2006-06-23T00:00:00Z,2006-09-10T00:00:00Z,2,Karur
6,"Thiru.A. Karthik, IAS., ",2005-01-13T00:00:00Z,2006-06-23T00:00:00Z,17,Karur
5,"Thiru.K. Ramamoorthi, IAS., ",2004-06-02T00:00:00Z,2005-01-12T00:00:00Z,7,Karur
4,"Thiru. P. Annamalai, IAS., ",2001-06-11T00:00:00Z,2004-06-01T00:00:00Z,35,Karur
3,"Thiru.N. Muruganandam, IAS., ",1999-12-05T00:00:00Z,2001-06-10T00:00:00Z,18,Karur
2,"Thiru.S. Ayyar, IAS., ",1997-05-28T00:00:00Z,1999-12-04T00:00:00Z,30,Karur
1,Thiru. T. Jacob ,1995-11-01T00:00:00Z,1997-05-27T00:00:00Z,18,Karur
16,Thiru Praveen P Nair I.A.S ,2019-09-25T00:00:00Z,Till Date,,Nagapattinum
16,Dr. S Suresh Kumar I.A.S ,2017-06-01T00:00:00Z,2019-09-23T00:00:00Z,27,Nagapattinum
15,Shri. S Palanisamy I.A.S ,2014-12-28T00:00:00Z,2017-05-31T00:00:00Z,29,Nagapattinum
14,Shri. T Munusamy I.A.S ,2011-06-06T00:00:00Z,2014-12-27T00:00:00Z,42,Nagapattinum
13,Shri. C Munianathan I.A.S ,2009-06-02T00:00:00Z,2011-06-05T00:00:00Z,24,Nagapattinum
12,Shri. M Jeyaraman I.A.S ,2008-06-06T00:00:00Z,2009-06-02T00:00:00Z,11,Nagapattinum
11,Shri. Tenkasi S Jawahar I.A.S ,2006-05-18T00:00:00Z,2008-06-05T00:00:00Z,24,Nagapattinum
10,Shri. RadhaKrishnan I.A.S ,2005-01-10T00:00:00Z,2006-05-17T00:00:00Z,16,Nagapattinum
9,Shri. M VeeraShanmughamoni I.A.S ,2003-07-18T00:00:00Z,2005-01-09T00:00:00Z,17,Nagapattinum
8,Shri.S Ramachandran I.A.S ,2003-05-23T00:00:00Z,2003-07-17T00:00:00Z,1,Nagapattinum
7,Shri. Sudeep Jain I.A.S ,2001-06-11T00:00:00Z,2003-05-22T00:00:00Z,23,Nagapattinum
6,Shri. Shiv Das Meena I.A.S ,1998-04-25T00:00:00Z,2001-06-10T00:00:00Z,37,Nagapattinum
5,Shri. Ashok Dongre I.A.S ,1997-05-09T00:00:00Z,1998-04-24T00:00:00Z,11,Nagapattinum
4,Shri. K Arulmozhi I.A.S ,1995-12-11T00:00:00Z,1997-05-08T00:00:00Z,16,Nagapattinum
3,Shri. R Bhaskaran I.A.S ,1994-10-31T00:00:00Z,1995-12-10T00:00:00Z,13,Nagapattinum
2,Shri. S Sawarkar I.A.S ,1993-08-16T00:00:00Z,1994-10-30T00:00:00Z,14,Nagapattinum
1,Shri. K Skandan I.A.S ,1991-10-18T00:00:00Z,1993-08-15T00:00:00Z,21,Nagapattinum
14,"Thiru. K.Megraj, I.A.S. ",2019-09-25T00:00:00Z,Present Collector,,Nammakal
13,"Tmt.M.Asia Mariam, I.A.S. ",2016-07-31T00:00:00Z,2019-09-25T00:00:00Z,37,Nammakal
12,"Mr.V.Dakshinamoorthy, I.A.S. ",2013-07-22T00:00:00Z,2016-07-31T00:00:00Z,36,Nammakal
11,"Dr.D.Jagannathan, I.A.S. ",2012-09-07T00:00:00Z,2013-07-22T00:00:00Z,10,Nammakal
10,"Mr.J.Kumaragurubaran, I.A.S. ",2011-06-08T00:00:00Z,2012-09-07T00:00:00Z,14,Nammakal
9,"Tmt.S.Madumathi, I.A.S. ",2010-10-01T00:00:00Z,2011-06-07T00:00:00Z,8,Nammakal
8,"Mr.U.Sagayam, I.A.S. ",2008-06-09T00:00:00Z,2010-09-18T00:00:00Z,27,Nammakal
7,"Mr.G.Sundaramurthi, I.A.S. ",2007-07-07T00:00:00Z,2008-04-17T00:00:00Z,9,Nammakal
6,"Mr.G.Sundaramurthi, I.A.S. ",2006-05-26T00:00:00Z,2007-06-16T00:00:00Z,12,Nammakal
5,"Mr.V.M.Xavier Chrisso Nayagam, I.A.S. ",2004-06-02T00:00:00Z,2006-05-20T00:00:00Z,23,Nammakal
4,"Mr.D.Rajendran, I.A.S. ",2001-06-11T00:00:00Z,2004-05-30T00:00:00Z,35,Nammakal
3,"Mr.G.Ramamoorthy, I.A.S. ",2001-01-22T00:00:00Z,2001-06-10T00:00:00Z,4,Nammakal
2,"Mr.Dayanand Kataria, I.A.S. ",1998-04-27T00:00:00Z,2001-01-21T00:00:00Z,32,Nammakal
1,"Mr.Ruolkhumlien Buhril, I.A.S. ",1996-08-09T00:00:00Z,1998-04-26T00:00:00Z,20,Nammakal
113,"Tmt. J. Innocent Divya, I.A.S., ",2017-07-10T00:00:00Z,Present,,Nilgiris
112,"Dr. P. Shankar, I.A.S., ",2013-10-23T00:00:00Z,2017-07-01T00:00:00Z,44,Nilgiris
111,"Archana Patnaik, I.A.S., ",2010-03-15T00:00:00Z,2013-10-10T00:00:00Z,42,Nilgiris
110,"Anandrao Vishnu Patil, I.A.S., ",2007-11-16T00:00:00Z,2010-03-15T00:00:00Z,27,Nilgiris
109,"Santosh K. Misra, I.A.S., ",2006-06-05T00:00:00Z,2007-11-06T00:00:00Z,17,Nilgiris
108,"C. Vijayaraj Kumar, I.A.S., ",2005-02-20T00:00:00Z,2006-06-04T00:00:00Z,15,Nilgiris
107,"K.S. Muthuswaamy, I.A.S., ",2004-06-02T00:00:00Z,2005-02-19T00:00:00Z,8,Nilgiris
106,"K. Sellamuthu, I.A.S., ",2002-11-07T00:00:00Z,2004-06-01T00:00:00Z,18,Nilgiris
105,"Supriya Sahu, I.A.S., ",2000-08-09T00:00:00Z,2002-11-06T00:00:00Z,26,Nilgiris
104,"P. Sivasankaran, I.A.S., ",1999-04-05T00:00:00Z,2000-08-08T00:00:00Z,16,Nilgiris
