colnp,full,start,end,Term in Months,district
66,Thiru. G. Govindaraj I.A.S ,2016-01-22T00:00:00Z,2016-07-28T00:00:00Z,6,Chennai
65,"Tmt. E. Sundaravalli, IAS ",2013-03-04T00:00:00Z,2016-01-21T00:00:00Z,34,Chennai
64,Tmt. R. Seethalakshmi,2012-11-20T00:00:00Z,2013-03-03T00:00:00Z,3,Chennai
63,"Thiru J. Jeyakanthan, IAS ",2012-10-05T00:00:00Z,2012-11-19T00:00:00Z,1,Chennai
62,"Tmt. S. Jayandhi, IAS ",2012-03-07T00:00:00Z,2012-10-01T00:00:00Z,6,Chennai
61,Thiru K.A. Annamalai,2012-01-28T00:00:00Z,2012-03-06T00:00:00Z,1,Chennai
60,"Tmt. S. Madumathi, IAS ",2012-01-25T00:00:00Z,2012-01-27T00:00:00Z,0,Chennai
59,Thiru K.A. Annamalai,2011-06-07T00:00:00Z,2012-01-24T00:00:00Z,7,Chennai
58,Tmt. V.Shobana IAS ,2009-06-04T00:00:00Z,2011-06-06T00:00:00Z,24,Chennai
57,Tmt. Mythili K. Rajendran IAS ,2008-09-15T00:00:00Z,2009-06-01T00:00:00Z,8,Chennai
56,Tmt.Kakarla Usha IAS ,2008-06-04T00:00:00Z,2008-09-14T00:00:00Z,3,Chennai
55,Tmt. R Jaya IAS ,2006-05-22T00:00:00Z,2008-04-20T00:00:00Z,22,Chennai
54,Thiru N Muruganandam IAS ,2005-12-20T00:00:00Z,2006-05-22T00:00:00Z,5,Chennai
53,Thiru S Chandramohan IAS ,2005-02-18T00:00:00Z,2005-12-19T00:00:00Z,10,Chennai
52,Thiru V.Kannuchamy I.A.S ,2004-06-02T00:00:00Z,2005-02-17T00:00:00Z,8,Chennai
51,Dr. M. Rajaram I.A.S ,2004-04-19T00:00:00Z,2004-06-01T00:00:00Z,1,Chennai
50,Thiru V.Kannuchamy I.A.S ,2003-10-01T00:00:00Z,2004-04-18T00:00:00Z,6,Chennai
49,"Thiru A.Abdul Salam, I.A.S ",2001-06-07T00:00:00Z,2003-10-01T00:00:00Z,27,Chennai
48,"Thiru K.Subramanian, I.A.S ",2001-01-19T00:00:00Z,2001-06-07T00:00:00Z,4,Chennai
47,"Tmt Anita Praveen, I.A.S ",1999-05-20T00:00:00Z,2001-01-19T00:00:00Z,19,Chennai
46,"Thiru A.Sugumaran, I.A.S ",1997-10-27T00:00:00Z,1999-05-19T00:00:00Z,18,Chennai
45,"Tmt D.Sabitha, I.A.S ",1997-05-08T00:00:00Z,1997-10-27T00:00:00Z,5,Chennai
44,"Tmt Shanthini Kapoor, I.A.S ",1995-06-09T00:00:00Z,1997-05-08T00:00:00Z,22,Chennai
43,"Thiru R.Kuppuswamy, I.A.S ",1993-10-21T00:00:00Z,1995-06-09T00:00:00Z,19,Chennai
42,"Thiru M.Raman, I.A.S ",1993-01-25T00:00:00Z,1993-10-21T05:30:00Z,8,Chennai
41,"Thiru K.Ganesan, I.A.S ",1992-11-13T00:00:00Z,1993-01-25T00:00:00Z,2,Chennai
40,"Tmt Jayasree Balachander, I.A.S ",1991-10-11T00:00:00Z,1992-10-12T00:00:00Z,12,Chennai
39,"Tmt Susan Mathew, I.A.S ",1990-11-28T00:00:00Z,1991-10-03T00:00:00Z,10,Chennai
38,"Tmt Sheelarani Chunkath, I.A.S ",1990-03-07T00:00:00Z,1990-11-27T00:00:00Z,8,Chennai
37,"Thiru Jor Singh Syiem, I.A.S ",1988-10-17T00:00:00Z,1990-02-12T00:00:00Z,15,Chennai
36,"Thiru G.Bhujangarao, I.A.S ",1986-08-22T00:00:00Z,1988-10-17T00:00:00Z,25,Chennai
35,"Thiru Lal Rawna Sailo, I.A.S ",1985-05-13T00:00:00Z,1986-08-22T00:00:00Z,15,Chennai
34,"Tmt O.P.Sosamma, I.A.S ",1984-11-19T00:00:00Z,1985-05-13T00:00:00Z,5,Chennai
33,"Thiru K.Sundaramurthy, I.A.S ",1983-08-12T00:00:00Z,1984-11-18T00:00:00Z,15,Chennai
32,"Tmt. Yasmin Ahmed, I.A.S ",1983-02-23T00:00:00Z,1983-07-20T00:00:00Z,4,Chennai
31,"Tmt C.K.Gariyali, I.A.S ",1981-10-12T00:00:00Z,1983-02-22T00:00:00Z,16,Chennai
30,"Tmt Lakshmi Pranesh, I.A.S ",1980-03-20T00:00:00Z,1981-10-11T00:00:00Z,18,Chennai
29,"Thiru M.Venkatachalam, I.A.S ",1978-07-19T00:00:00Z,1980-03-19T00:00:00Z,20,Chennai
28,"Tmt Rathi Vinay Jha, I.A.S ",1977-04-01T00:00:00Z,1978-07-12T00:00:00Z,15,Chennai
27,"Tmt. Latika D.Padalkar, I.A.S ",1976-07-09T00:00:00Z,1977-03-31T00:00:00Z,8,Chennai
26,"Selvi M.S.Ramesh, I.A.S ",1975-06-21T00:00:00Z,1976-03-04T00:00:00Z,8,Chennai
25,"Thiru O.Ramachandra Rao, I.A.S ",1973-09-10T00:00:00Z,1975-06-20T00:00:00Z,21,Chennai
24,"Thiru M.Ahmed, I.A.S ",1971-08-09T00:00:00Z,1973-09-09T00:00:00Z,25,Chennai
23,"Thiru D.K.Oza, I.A.S ",1970-04-20T00:00:00Z,1971-05-07T00:00:00Z,12,Chennai
22,"Thiru Badrinath, I.A.S ",1968-08-01T00:00:00Z,1970-03-31T00:00:00Z,19,Chennai
21,"Thiru A.M.Nabi, I.A.S ",1966-05-23T00:00:00Z,1968-07-31T00:00:00Z,26,Chennai
20,"Thiru L.M.Vasagam, I.A.S ",1965-10-04T00:00:00Z,1966-05-22T00:00:00Z,7,Chennai
19,"Thiru N.Haribhasker, I.A.S (i/c) ",1965-02-09T00:00:00Z,1965-03-07T00:00:00Z,0,Chennai
18,"Selvi S.Sathyabhama, I.A.S ",1963-11-01T00:00:00Z,1965-10-03T00:00:00Z,23,Chennai
17,Thiru S.Krishnaswamy I.A.S ,1963-02-06T00:00:00Z,1963-10-31T00:00:00Z,8,Chennai
16,"Thiru N.Krishnaswamy, I.E. ",1960-01-10T00:00:00Z,1963-02-05T00:00:00Z,36,Chennai
15,"Thiru O.H.Dias, I.A.S ",1959-10-12T00:00:00Z,1960-01-09T00:00:00Z,2,Chennai
14,"Thiru G.E.Muthirulandi, I.A.S ",1958-07-22T00:00:00Z,1959-10-11T00:00:00Z,14,Chennai
13,"Thiru S.Thayappa Thevar, I.A.S ",1957-01-02T00:00:00Z,1958-07-22T00:00:00Z,18,Chennai
12,"Thiru M.S.Sivaraman, I.C.S ",1955-10-07T00:00:00Z,1957-01-02T00:00:00Z,14,Chennai
11,"Thiru V.V.Subramanian, I.C.S ",1955-05-09T00:00:00Z,1955-09-26T00:00:00Z,4,Chennai
10,"Thiru E.P.Royappa (Mily), I.A.S ",1954-12-14T00:00:00Z,1955-05-07T00:00:00Z,4,Chennai
9,"Thiru K.Gulam Md.Sahib, I.A.S ",1954-08-03T00:00:00Z,1954-12-14T00:00:00Z,4,Chennai
8,"Thiru N.S.Arunachalam, I.A.S ",1953-07-08T00:00:00Z,1954-07-08T00:00:00Z,12,Chennai
7,"Thiru M.A.Sheriff, I.A.S ",1953-04-20T00:00:00Z,1953-06-05T00:00:00Z,1,Chennai
6,"Thiru T.N.S.Raghavan, I.C.S ",1953-02-16T00:00:00Z,1953-03-31T00:00:00Z,1,Chennai
5,"Thiru C.Vivekanandamurthy, I.C.S ",1952-06-25T00:00:00Z,1953-01-27T00:00:00Z,7,Chennai
4,"Thiru T.S.Ramachandran, I.C.S ",1950-07-18T00:00:00Z,1952-06-03T00:00:00Z,22,Chennai
3,"Thiru V.V.Subramanian, I.C.S ",1948-09-04T00:00:00Z,1950-07-18T00:00:00Z,22,Chennai
2,"Thiru D.Padmanabhan, I.C.S ",1947-11-21T00:00:00Z,1948-08-29T00:00:00Z,9,Chennai
1,"Thiru N.S.Arunachalam, I.C.S ",1947-07-17T00:00:00Z,1947-11-21T00:00:00Z,4,Chennai
136,"V.P. Thandapani,I.A.S., ",2018-02-22T00:00:00Z,Till date,,Cuddalore
135,"PRASHANT M.WADNERE,I.A.S., ",2017-08-31T00:00:00Z,2018-02-21T00:00:00Z,5,Cuddalore
134,"T.P.RAJESH,I.A.S., ",2016-09-10T00:00:00Z,2017-08-31T00:00:00Z,11,Cuddalore
133,"A.GNANASEKARAN,I.A.S., ",2016-07-31T00:00:00Z,2016-09-09T00:00:00Z,1,Cuddalore
132,"G.VIJAYA,M.A.,I/C ",2016-06-21T00:00:00Z,2016-07-31T00:00:00Z,1,Cuddalore
131,"S.SURESHKUMAR,I.A.S., ",2014-06-07T00:00:00Z,2016-06-21T00:00:00Z,24,Cuddalore
130,"R.KIRLOSH KUMAR,I.A.S., ",2012-12-15T00:00:00Z,2014-06-07T00:00:00Z,17,Cuddalore
129,"RAJENDRA RATNOO,I.A.S., ",2012-01-21T00:00:00Z,2012-12-15T00:00:00Z,10,Cuddalore
128,"V.AMUTHAVALLI,I.A.S., ",2011-06-03T00:00:00Z,2012-01-21T00:00:00Z,7,Cuddalore
127,"C.RAJENDIRAN,I/C ",2011-06-01T00:00:00Z,2011-06-02T00:00:00Z,0,Cuddalore
126,"P.SEETHARAMAN,I.A.S., ",2009-06-03T00:00:00Z,2011-05-31T00:00:00Z,23,Cuddalore
125,"RAJENDRA RATNOO,I.A.S., ",2007-01-05T00:00:00Z,2009-06-03T00:00:00Z,28,Cuddalore
124,"GAGANDEEP SINGH BEDI,I.A.S., ",2003-07-16T00:00:00Z,2007-01-05T00:00:00Z,41,Cuddalore
123,"C.THANGASAMI,I.A.S., ",2001-06-10T00:00:00Z,2003-07-15T00:00:00Z,25,Cuddalore
122,"SANDEEP SAXENA,I.A.S., ",1998-04-25T00:00:00Z,2001-06-10T00:00:00Z,37,Cuddalore
121,"OTEM DAI,I.A.S., ",1997-03-05T00:00:00Z,1998-04-24T00:00:00Z,13,Cuddalore
120,"ASHOK RANJAN MOHNATY,I.A.S., ",1996-06-06T00:00:00Z,1997-03-05T00:00:00Z,8,Cuddalore
119,"P.SHANMUGAM,I.A.S., ",1995-04-14T00:00:00Z,1996-06-06T00:00:00Z,13,Cuddalore
118,"DR.T.PRABHAKARA RAO,I.A.S., ",1993-09-11T00:00:00Z,1995-04-13T00:00:00Z,19,Cuddalore
117,"G.RAMAKRISHNAN,I.A.S., ",1991-03-22T00:00:00Z,1993-09-07T00:00:00Z,29,Cuddalore
14,S. Malarvizhi I.A.S ,2018-02-26T00:00:00Z,Present Collector,,Dharmapuri
13,K. Vivekanandan I.A.S ,2017-08-13T00:00:00Z,2018-02-25T00:00:00Z,6,Dharmapuri
12,A. Sankar M.Sc. ( i/c ) ,2017-07-03T00:00:00Z,2017-08-12T00:00:00Z,1,Dharmapuri
11,K. Vivekanandan I.A.S ,2013-07-07T00:00:00Z,2017-07-02T00:00:00Z,47,Dharmapuri
10,R. Lilly I.A.S ,2011-06-08T00:00:00Z,2013-07-07T00:00:00Z,24,Dharmapuri
9,S. Ganesh (i/c) ,2011-06-03T00:00:00Z,2011-06-08T00:00:00Z,0,Dharmapuri
8,Dr. R. Anandakumar I.A.S ,2010-10-01T00:00:00Z,2011-06-03T00:00:00Z,8,Dharmapuri
7,P. Amudha I.A.S ,2007-11-07T00:00:00Z,2010-10-01T00:00:00Z,34,Dharmapuri
6,R. Nagarajan (i/c) ,2007-10-20T00:00:00Z,2007-11-07T00:00:00Z,0,Dharmapuri
5,Pankaj Kumar Bansal I.A.S ,2006-09-08T00:00:00Z,2007-10-20T00:00:00Z,13,Dharmapuri
4,M. Chanadrasekaran I.A.S ,2005-10-23T00:00:00Z,2006-09-08T00:00:00Z,10,Dharmapuri
3,Sudeep Jain I.A.S ,2005-02-21T00:00:00Z,2005-10-23T00:00:00Z,8,Dharmapuri
2,Ashish Vachhani I.A.S ,2004-06-02T00:00:00Z,2005-02-21T00:00:00Z,8,Dharmapuri
1,M.A.Siddique I.A.S ,2002-06-15T00:00:00Z,2004-06-02T00:00:00Z,23,Dharmapuri
26,Tmt. M. Vijaya Lakshmi IAS ,2019-07-01T00:00:00Z,Till Date,,Dindigul
25.,Thiru Dr.T.G.Vinay IAS ,2016-07-31T00:00:00Z,2019-06-30T00:00:00Z,34,Dindigul
24.,Thiru T.N.Hariharan IAS ,2016-06-04T00:00:00Z,2016-07-05T00:00:00Z,1,Dindigul
23.,Thiru K.Veera Raghava Rao IAS (FAC) ,2016-05-31T00:00:00Z,2016-06-04T00:00:00Z,0,Dindigul
22.,Thiru Satyabrata Sahoo IAS ,2016-04-24T00:00:00Z,2016-05-24T00:00:00Z,1,Dindigul
21,Thiru T.N.Hariharan IAS ,2014-12-28T00:00:00Z,2016-04-24T00:00:00Z,15,Dindigul
20,Thiru N.Venkatachalam IAS ,2012-02-29T00:00:00Z,2014-12-28T00:00:00Z,33,Dindigul
19.,Thiru K.Nagarajan IAS ,2011-06-06T00:00:00Z,2012-02-29T00:00:00Z,8,Dindigul
18,Thiru M.Vallalar IAS ,2009-07-02T00:00:00Z,2011-06-05T00:00:00Z,23,Dindigul
17,Thiru R.Kirlosh Kumar IAS ,2009-02-21T00:00:00Z,2009-07-02T00:00:00Z,4,Dindigul
16,Tmt. R.Vasuki IAS ,2007-11-07T00:00:00Z,2009-02-21T00:00:00Z,15,Dindigul
15,Tmt. P.Amudha IAS ,2007-10-01T00:00:00Z,2007-11-05T00:00:00Z,1,Dindigul
14,Tmt. R.Vasuki IAS ,2006-05-24T00:00:00Z,2007-09-08T00:00:00Z,15,Dindigul
13,Thiru S.Murugaiah IAS ,2004-06-04T00:00:00Z,2006-05-23T00:00:00Z,23,Dindigul
12,Thiru Dr.P.Senthilkumar IAS ,2002-03-28T00:00:00Z,2004-06-03T00:00:00Z,26,Dindigul
11,Thiru R.Thiyagarajan IAS ,2001-06-11T00:00:00Z,2002-03-25T00:00:00Z,9,Dindigul
10,Thiru Harmander Singh IAS ,2000-05-01T00:00:00Z,2001-06-11T00:00:00Z,13,Dindigul
9.,Thiru A.S.Jeevarathinam IAS ,1998-05-10T00:00:00Z,2000-05-01T00:00:00Z,23,Dindigul
8.,Thiru Vikaram Kapur IAS ,1997-05-19T00:00:00Z,1998-05-09T00:00:00Z,11,Dindigul
7.,Thiru C.Chandra Mouli IAS ,1996-06-03T00:00:00Z,1997-05-18T00:00:00Z,11,Dindigul
6.,Thiru T.Pitchandi IAS ,1994-01-31T00:00:00Z,1996-06-02T00:00:00Z,28,Dindigul
5.,Thiru Rameshram Mishra IAS ,1992-02-27T00:00:00Z,1994-01-02T00:00:00Z,22,Dindigul
4.,Thiru Prithiviraj Langtaasa IAS ,1991-07-25T00:00:00Z,1992-02-26T00:00:00Z,7,Dindigul
3.,Thiru Sakthikanta Das IAS ,1989-05-03T00:00:00Z,1991-07-24T00:00:00Z,26,Dindigul
2.,Thiru Mrutyunjan Sarangi IAS ,1987-05-08T00:00:00Z,1989-05-02T00:00:00Z,23,Dindigul
1,Thiru M.Madhavan Nambiar IAS ,1985-09-15T00:00:00Z,1987-05-07T00:00:00Z,19,Dindigul
1,"Shri V.Lakshmi Ratan,I.A.S. ",1979-09-17T00:00:00Z,1981-05-28T00:00:00Z,20,Erode
2,"Shri A N Dyaneswaran,I.A.S. ",1981-08-25T00:00:00Z,1983-06-14T00:00:00Z,21,Erode
3,"Thiru P.V.Rajaraman,I.A.S. ",1983-06-14T00:00:00Z,1984-06-01T00:00:00Z,11,Erode
4,"Shri M. Ramakrishnan,I.A.S ",1984-06-01T00:00:00Z,1985-07-14T00:00:00Z,13,Erode
5,"Shri K.Sampathkumar,I.A.S (Addl. Incharge) ",1985-07-14T00:00:00Z,1985-07-19T00:00:00Z,0,Erode
6,"Shri Arun Ramanathan, I.A.S. ",1985-07-19T00:00:00Z,1987-05-15T00:00:00Z,21,Erode
7,"Shri. R.Christodas Gandhi, I.A.S. ",1987-05-15T00:00:00Z,1988-12-12T00:00:00Z,18,Erode
8,"Shri V K Subburaj, I.A.S. ",1988-12-12T00:00:00Z,1991-07-17T00:00:00Z,31,Erode
9,"Shri R. Kannan, I.A.S. ",1991-07-17T00:00:00Z,1993-09-22T00:00:00Z,26,Erode
10,"Shri N.S.Palaniappan,I.A.S. ",1993-09-22T00:00:00Z,1996-06-22T00:00:00Z,33,Erode
11,Shri K. Sellamuthu M.A.(Addl.Charge) ,1996-06-23T00:00:00Z,1996-06-26T00:00:00Z,0,Erode
12,"Shri. R.S.Kannan, I.A.S. ",1996-06-26T00:00:00Z,1997-02-15T00:00:00Z,7,Erode
13,"Shri.R.Kannappan, M.A. (Addl.Charge) ",1997-02-16T00:00:00Z,1997-02-23T00:00:00Z,0,Erode
14,"Shri Apurva Varma, I.A.S ",1997-02-24T00:00:00Z,1998-12-08T00:00:00Z,21,Erode
15,"Shri S. Karuthiah Pandian, I.A.S ",1998-12-09T00:00:00Z,2001-06-09T00:00:00Z,30,Erode
16,"Shri Ka. Balachandran, I.A.S ",2001-06-10T00:00:00Z,2004-05-31T00:00:00Z,35,Erode
17,"Shri Dr. D.Karthikeyan, I.A.S. ",2004-06-01T00:00:00Z,2007-02-23T00:00:00Z,32,Erode
18,"Shri T Udhayachandran, I.A.S. ",2007-02-23T00:00:00Z,2008-04-18T00:00:00Z,13,Erode
19,Shri S. Manoharan M.A.(History) M.A.(Public Administration) (Addl. Incharge) ,2008-04-19T00:00:00Z,2008-05-01T00:00:00Z,0,Erode
20,"Shri Mahesan Kasirajan, I.A.S. ",2008-05-02T00:00:00Z,2009-05-31T00:00:00Z,12,Erode
21,Shri M. Mayakrishnan (Addl. Incharge) ,2009-06-01T00:00:00Z,2009-06-03T00:00:00Z,0,Erode
22,"Shri R.Sudalaikannan, I.A.S. ",2009-06-04T00:00:00Z,2010-09-17T00:00:00Z,15,Erode
23,"Shri P. Kumaravel Pandian, B.Sc.,(Addl. Incharge) ",2010-09-18T00:00:00Z,2010-10-06T00:00:00Z,0,Erode
24,"Shri T. Soundaiah, I.A.S. ",2010-10-07T00:00:00Z,2011-03-23T00:00:00Z,5,Erode
25,"Shri C. Kamaraj, I.A.S. ",2011-03-23T00:00:00Z,2011-06-03T00:00:00Z,2,Erode
26,"Shri Dr. R. Anandakumar, I.A.S. ",2011-06-03T00:00:00Z,2011-07-15T00:00:00Z,1,Erode
27,Smt. S.P. Karthika B.E. (Addl.Incharge) ,2011-07-15T00:00:00Z,2011-07-18T00:00:00Z,0,Erode
28,"Shri C. Kamaraj, I.A.S. ",2011-07-18T00:00:00Z,2011-09-29T00:00:00Z,2,Erode
29,"Shri Dr. V K Shanmugam, I.A.S. ",2011-09-30T00:00:00Z,2014-04-08T00:00:00Z,30,Erode
30,"Tmt.S.Madumathi, I.A.S. ",2014-04-08T00:00:00Z,2014-05-23T00:00:00Z,1,Erode
31,"Shri Dr. V K Shanmugam, I.A.S. ",2014-05-23T00:00:00Z,2014-09-23T00:00:00Z,4,Erode
32,"Shri Dr. S.Prabhakar, I.A.S. ",2014-09-24T00:00:00Z,2018-08-29T00:00:00Z,47,Erode
33,"Shri. C.Kathiravan, I.A.S. ",2018-08-30T00:00:00Z,Till date,,Erode
58,"Thiru P. Ponniah I.A.S., ",,,,Kancheepuram
57,"Tmt. R.Gajalakshmi I.A.S., ",2015-10-11T00:00:00Z,2017-03-09T00:00:00Z,16,Kancheepuram
56,"Thiru K.Sowrirajan M.Sc., DRO(I/C) ",2015-09-30T00:00:00Z,2015-10-11T00:00:00Z,0,Kancheepuram
55,"Dr. V.K.Shanmugam I.A.S., ",2014-09-23T00:00:00Z,2015-09-30T00:00:00Z,12,Kancheepuram
54,"Thiru K.Baskaran I.A.S., ",2013-10-23T00:00:00Z,2014-09-23T00:00:00Z,11,Kancheepuram
53,Thiru M.Sampathkumar DRO(IC) ,2013-10-11T00:00:00Z,2013-10-22T00:00:00Z,0,Kancheepuram
52,"Thiru L.Sitherasenan I.A.S., ",2012-09-07T00:00:00Z,2013-10-11T00:00:00Z,13,Kancheepuram
51,"Thiru Hanish Chhabra I.A.S., ",2012-01-13T00:00:00Z,2012-09-07T00:00:00Z,7,Kancheepuram
50,Thiru S.R.Sudharsan DRO(IC) ,2011-12-17T00:00:00Z,2012-01-13T00:00:00Z,0,Kancheepuram
49,"Thiru S.Sivashanmuga Raja I.A.S., ",2011-06-03T00:00:00Z,2011-12-16T00:00:00Z,6,Kancheepuram
48,"Thiru Ashish Chatterjee I.A.S., ",2010-09-30T00:00:00Z,2011-06-03T00:00:00Z,8,Kancheepuram
47,"Thiru Santosh K.Misra I.A.S., ",2007-11-07T00:00:00Z,2010-09-30T00:00:00Z,34,Kancheepuram
46,"Thiru Pradeep Yadav I.A.S., ",2006-05-25T00:00:00Z,2007-11-06T00:00:00Z,17,Kancheepuram
45,"Thiru R.Venkatesan I.A.S., ",2003-03-10T00:00:00Z,2006-05-24T00:00:00Z,38,Kancheepuram
44,"Thiru K.Rajaraman I.A.S., ",2001-06-07T00:00:00Z,2003-03-04T00:00:00Z,20,Kancheepuram
43,"Thiru A.Sukumaran I.A.S., ",1999-05-19T00:00:00Z,2001-06-07T00:00:00Z,24,Kancheepuram
42,"Thiru V.Iraianbu I.A.S., ",1997-07-16T00:00:00Z,1999-05-18T00:00:00Z,22,Kancheepuram
41,"Thiru K.Rajamanickam I.A.S., ",1997-01-01T00:00:00Z,1997-07-14T00:00:00Z,6,Kancheepuram
40,"Thiru P.Ramamohanarao I.A.S., ",1994-01-01T00:00:00Z,1996-01-01T00:00:00Z,24,Kancheepuram
39,"Dr.V.Varaprasada Rao I.A.S., ",1993-01-01T00:00:00Z,1994-01-01T00:00:00Z,12,Kancheepuram
38,"Thiru K.Gnanadesikan I.A.S., ",1992-01-01T00:00:00Z,1993-01-01T00:00:00Z,12,Kancheepuram
37,"Tmt. M.Sheelapriya I.A.S., ",1991-01-01T00:00:00Z,1992-01-01T00:00:00Z,12,Kancheepuram
36,"Thiru Sameer Vyas I.A.S., ",1988-01-01T00:00:00Z,1991-01-01T00:00:00Z,36,Kancheepuram
35,"Thiru P.Pandian I.A.S., ",1986-01-01T00:00:00Z,1988-01-01T00:00:00Z,24,Kancheepuram
34,"Thiru K.A.Mathew I.A.S., ",1985-01-01T00:00:00Z,1986-01-01T00:00:00Z,12,Kancheepuram
33,"Thiru T.R.Srinivasan I.A.S., ",1983-01-01T00:00:00Z,1985-01-01T00:00:00Z,24,Kancheepuram
32,"Thiru R.Satpathy I.A.S., ",1983-01-01T00:00:00Z,1983-01-01T00:00:00Z,0,Kancheepuram
31,"Thiru Pavan Raina I.A.S., ",1983-01-01T00:00:00Z,1983-01-01T00:00:00Z,0,Kancheepuram
30,"Thiru H.J.Ramachandran I.A.S., ",1981-01-01T00:00:00Z,1983-01-01T00:00:00Z,24,Kancheepuram
29,Thiru S.Aravind I.A.S. ,1981-01-01T00:00:00Z,1981-01-01T00:00:00Z,0,Kancheepuram
28,"Thiru C.Muthuswamy I.A.S., ",1980-01-01T00:00:00Z,1981-01-01T00:00:00Z,12,Kancheepuram
27,"Thiru OM.Kumar I.A.S., ",1978-01-01T00:00:00Z,1980-01-01T00:00:00Z,24,Kancheepuram
26,"Thiru U.Subramanyan I.A.S., ",1976-01-01T00:00:00Z,1978-01-01T00:00:00Z,24,Kancheepuram
25,"Thiru T.K.A.Dewnmohamed I.A.S., ",1975-01-01T00:00:00Z,1976-01-01T00:00:00Z,12,Kancheepuram
24,"Thiru J.R.Ramanathan I.A.S., ",1974-01-01T00:00:00Z,1975-01-01T00:00:00Z,12,Kancheepuram
23,"Thiru U.S.Natarajan I.A.S., ",1972-01-01T00:00:00Z,1974-01-01T00:00:00Z,24,Kancheepuram
22,"Thiru N.Krishnamoorthy I.A.S., ",1972-01-01T00:00:00Z,1972-01-01T00:00:00Z,0,Kancheepuram
21,"Thiru R.A.Seetharamadas I.A.S., ",1970-01-01T00:00:00Z,1972-01-01T00:00:00Z,24,Kancheepuram
20,"Thiru A.N.Natarajan I.A.S., ",1969-01-01T00:00:00Z,1970-01-01T00:00:00Z,12,Kancheepuram
19,"Thiru K.Lakshmikanthan Bharathi I.A.S., ",1967-01-01T00:00:00Z,1969-01-01T00:00:00Z,24,Kancheepuram
18,"Thiru V.Natarajan I.A.S., ",1966-01-01T00:00:00Z,1967-01-01T00:00:00Z,12,Kancheepuram
17,"Thiru E.C.P.Prabakar I.A.S., ",1965-01-01T00:00:00Z,1966-01-01T00:00:00Z,12,Kancheepuram
16,"Thiru S.Krishnasamy I.A.S., ",1963-01-01T00:00:00Z,1965-01-01T00:00:00Z,24,Kancheepuram
15,"Thiru N.Ananthapadmanabhan I.A.S., ",1962-01-01T00:00:00Z,1963-01-01T00:00:00Z,12,Kancheepuram
14,"Thiru K.S.Sivasubamaniyan I.A.S., ",1961-01-01T00:00:00Z,1962-01-01T00:00:00Z,12,Kancheepuram
13,"Selvi Sathyabhama I.A.S., ",1961-01-01T00:00:00Z,1961-01-01T00:00:00Z,0,Kancheepuram
12,"Thiru K.S.Sivasubamaniyan I.A.S., ",1960-01-01T00:00:00Z,1961-01-01T00:00:00Z,12,Kancheepuram
11,"Thiru K.Diraviam I.A.S., ",1959-01-01T00:00:00Z,1960-01-01T00:00:00Z,12,Kancheepuram
10,"Thiru S.P.Srinivasan I.A.S., ",1958-01-01T00:00:00Z,1959-01-01T00:00:00Z,12,Kancheepuram
9,"Thiru R.Kunchithapatham I.A.S., ",1957-01-01T00:00:00Z,1958-01-01T00:00:00Z,12,Kancheepuram
8,"Thiru A.Venkatesan I.A.S., ",1955-01-01T00:00:00Z,1957-01-01T00:00:00Z,24,Kancheepuram
