#Group,Detail,Sub-detail,Desc
1,16,41,Scheduled Castes - Capital Grants
1,16,45,Scheduled Castes - Current Grants
1,16,61,Scheduled Tribes - Capital Grants
1,16,65,Scheduled Tribes - Current Grants
1,17,00,Fisheries
1,17,01,Indivisible - Capital Grants
1,17,05,Indivisible - Current Grants
1,17,21,General Category - Capital Grants
1,17,25,General Category - Current Grants
1,17,41,Scheduled Castes - Capital Grants
1,17,45,Scheduled Castes - Current Grants
1,17,61,Scheduled Tribes - Capital Grants
1,17,65,Scheduled Tribes - Current Grants
1,18,00,Irrigation
1,18,01,Indivisible - Capital Grants
1,18,05,Indivisible - Current Grants
1,18,21,General Category - Capital Grants
1,18,25,General Category - Current Grants
1,18,41,Scheduled Castes - Capital Grants
1,18,45,Scheduled Castes - Current Grants
1,18,61,Scheduled Tribes - Capital Grants
1,18,65,Scheduled Tribes - Current Grants
1,19,00,Arts and Culture
1,19,01,Indivisible - Capital Grants
1,19,05,Indivisible - Current Grants
1,19,21,General Category - Capital Grants
1,19,25,General Category - Current Grants
1,19,41,Scheduled Castes - Capital Grants
1,19,45,Scheduled Castes - Current Grants
1,19,61,Scheduled Tribes - Capital Grants
1,19,65,Scheduled Tribes - Current Grants
1,20,00,Census and Statistics
1,20,01,Indivisible - Capital Grants
1,20,05,Indivisible - Current Grants
1,20,21,General Category - Capital Grants
1,20,25,General Category - Current Grants
1,20,41,Scheduled Castes - Capital Grants
1,20,45,Scheduled Castes - Current Grants
1,20,61,Scheduled Tribes - Capital Grants
1,20,65,Scheduled Tribes - Current Grants
1,21,00,Civil Supplies and Consumer Protection
1,21,01,Indivisible - Capital Grants
1,21,05,Indivisible - Current Grants
1,21,21,General Category - Capital Grants
1,21,25,General Category - Current Grants
1,21,41,Scheduled Castes - Capital Grants
1,21,45,Scheduled Castes - Current Grants
1,21,61,Scheduled Tribes - Capital Grants
1,21,65,Scheduled Tribes - Current Grants
1,22,00,Food Processing
1,22,01,Indivisible - Capital Grants
1,22,05,Indivisible - Current Grants
1,22,21,General Category - Capital Grants
1,22,25,General Category - Current Grants
1,22,41,Scheduled Castes - Capital Grants
1,22,45,Scheduled Castes - Current Grants
1,22,61,Scheduled Tribes - Capital Grants
1,22,65,Scheduled Tribes - Current Grants
1,23,00,Elementary Education
1,23,01,Indivisible - Capital Grants
1,23,05,Indivisible - Current Grants
1,23,21,General Category - Capital Grants
1,23,25,General Category - Current Grants
1,23,41,Scheduled Castes - Capital Grants
1,23,45,Scheduled Castes - Current Grants
1,23,61,Scheduled Tribes - Capital Grants
1,23,65,Scheduled Tribes - Current Grants
1,24,00,Nutritious Meal Programme
1,24,01,Indivisible - Capital Grants
1,24,05,Indivisible - Current Grants
1,24,21,General Category - Capital Grants
1,24,25,General Category - Current Grants
1,24,41,Scheduled Castes - Capital Grants
1,24,45,Scheduled Castes - Current Grants
1,24,61,Scheduled Tribes - Capital Grants
1,24,65,Scheduled Tribes - Current Grants
1,25,00,Secondary Education
1,25,01,Indivisible - Capital Grants
1,25,05,Indivisible - Current Grants
1,25,21,General Category - Capital Grants
1,25,25,General Category - Current Grants
1,25,41,Scheduled Castes - Capital Grants
1,25,45,Scheduled Castes - Current Grants
1,25,61,Scheduled Tribes - Capital Grants
1,25,65,Scheduled Tribes - Current Grants
1,26,00,Higher Education
1,26,01,Indivisible - Capital Grants
1,26,05,Indivisible - Current Grants
1,26,21,General Category - Capital Grants
1,26,25,General Category - Current Grants
1,26,41,Scheduled Castes - Capital Grants
1,26,45,Scheduled Castes - Current Grants
1,26,61,Scheduled Tribes - Capital Grants
1,26,65,Scheduled Tribes - Current Grants
1,27,00,Employment Guarantee Programmes
1,27,01,Indivisible - Capital Grants
1,27,05,Indivisible - Current Grants
1,27,21,General Category - Capital Grants
1,27,25,General Category - Current Grants
1,27,41,Scheduled Castes - Capital Grants
1,27,45,Scheduled Castes - Current Grants
1,27,61,Scheduled Tribes - Capital Grants
1,27,65,Scheduled Tribes - Current Grants
1,28,00,Other Livelihood Programmes
1,28,01,Indivisible - Capital Grants
1,28,05,Indivisible - Current Grants
1,28,21,General Category - Capital Grants
1,28,25,General Category - Current Grants
1,28,41,Scheduled Castes - Capital Grants
1,28,45,Scheduled Castes - Current Grants
1,28,61,Scheduled Tribes - Capital Grants
1,28,65,Scheduled Tribes - Current Grants
1,29,00,Information Technology
1,29,01,Indivisible - Capital Grants
1,29,05,Indivisible - Current Grants
1,29,21,General Category - Capital Grants
1,29,25,General Category - Current Grants
1,29,41,Scheduled Castes - Capital Grants
1,29,45,Scheduled Castes - Current Grants
1,29,61,Scheduled Tribes - Capital Grants
1,29,65,Scheduled Tribes - Current Grants
1,30,00,Energy
1,30,01,Indivisible - Capital Grants
1,30,05,Indivisible - Current Grants
1,30,21,General Category - Capital Grants
1,30,25,General Category - Current Grants
1,30,41,Scheduled Castes - Capital Grants
1,30,45,Scheduled Castes - Current Grants
1,30,61,Scheduled Tribes - Capital Grants
1,30,65,Scheduled Tribes - Current Grants
1,31,00,Environment
1,31,01,Indivisible - Capital Grants
1,31,05,Indivisible - Current Grants
1,31,21,General Category - Capital Grants
1,31,25,General Category - Current Grants
1,31,41,Scheduled Castes - Capital Grants
1,31,45,Scheduled Castes - Current Grants
1,31,61,Scheduled Tribes - Capital Grants
1,31,65,Scheduled Tribes - Current Grants
1,32,00,Forestry and Wildlife
1,32,01,Indivisible - Capital Grants
1,32,05,Indivisible - Current Grants
1,32,21,General Category - Capital Grants
1,32,25,General Category - Current Grants
1,32,41,Scheduled Castes - Capital Grants
1,32,45,Scheduled Castes - Current Grants
1,32,61,Scheduled Tribes - Capital Grants
1,32,65,Scheduled Tribes - Current Grants
1,33,00,External Assistance
1,33,01,Indivisible - Capital Grants
1,33,05,Indivisible - Current Grants
1,33,21,General Category - Capital Grants
1,33,25,General Category - Current Grants
1,33,41,Scheduled Castes - Capital Grants
1,33,45,Scheduled Castes - Current Grants
1,33,61,Scheduled Tribes - Capital Grants
1,33,65,Scheduled Tribes - Current Grants
1,34,00,Flood Control
1,34,01,Indivisible - Capital Grants
1,34,05,Indivisible - Current Grants
1,34,21,General Category - Capital Grants
1,34,25,General Category - Current Grants
1,34,41,Scheduled Castes - Capital Grants
1,34,45,Scheduled Castes - Current Grants
1,34,61,Scheduled Tribes - Capital Grants
1,34,65,Scheduled Tribes - Current Grants
1,35,00,Handloom Development
1,35,01,Indivisible - Capital Grants
1,35,05,Indivisible - Current Grants
1,35,21,General Category - Capital Grants
1,35,25,General Category - Current Grants
1,35,41,Scheduled Castes - Capital Grants
1,35,45,Scheduled Castes - Current Grants
1,35,61,Scheduled Tribes - Capital Grants
1,35,65,Scheduled Tribes - Current Grants
1,36,00,Health and Family Welfare
1,36,01,Indivisible - Capital Grants
1,36,05,Indivisible - Current Grants
1,36,21,General Category - Capital Grants
1,36,25,General Category - Current Grants
1,36,41,Scheduled Castes - Capital Grants
1,36,45,Scheduled Castes - Current Grants
1,36,61,Scheduled Tribes - Capital Grants
1,36,65,Scheduled Tribes - Current Grants
1,37,00,Health - National Health Mission
1,37,01,Indivisible - Capital Grants
1,37,05,Indivisible - Current Grants
1,37,21,General Category - Capital Grants
1,37,25,General Category - Current Grants
1,37,41,Scheduled Castes - Capital Grants
1,37,45,Scheduled Castes - Current Grants
1,37,61,Scheduled Tribes - Capital Grants
1,37,65,Scheduled Tribes - Current Grants
1,38,00,Health - Disease Control
1,38,01,Indivisible - Capital Grants
1,38,05,Indivisible - Current Grants
1,38,21,General Category - Capital Grants
1,38,25,General Category - Current Grants
1,38,41,Scheduled Castes - Capital Grants
1,38,45,Scheduled Castes - Current Grants
1,38,61,Scheduled Tribes - Capital Grants
1,38,65,Scheduled Tribes - Current Grants
1,39,00,Hygiene and Sanitation
1,39,01,Indivisible - Capital Grants
1,39,05,Indivisible - Current Grants
1,39,21,General Category - Capital Grants
1,39,25,General Category - Current Grants
1,39,41,Scheduled Castes - Capital Grants
1,39,45,Scheduled Castes - Current Grants
1,39,61,Scheduled Tribes - Capital Grants
1,39,65,Scheduled Tribes - Current Grants
1,40,00,Industries and Commerce
1,40,01,Indivisible - Capital Grants
1,40,05,Indivisible - Current Grants
1,40,21,General Category - Capital Grants
1,40,25,General Category - Current Grants
1,40,41,Scheduled Castes - Capital Grants
1,40,45,Scheduled Castes - Current Grants
1,40,61,Scheduled Tribes - Capital Grants
1,40,65,Scheduled Tribes - Current Grants
1,41,00,"Micro, Medium and Small Scale Industries"
1,41,01,Indivisible - Capital Grants
1,41,05,Indivisible - Current Grants
1,41,21,General Category - Capital Grants
1,41,25,General Category - Current Grants
1,41,41,Scheduled Castes - Capital Grants
1,41,45,Scheduled Castes - Current Grants
1,41,61,Scheduled Tribes - Capital Grants
1,41,65,Scheduled Tribes - Current Grants
1,42,00,Land Reforms
1,42,01,Indivisible - Capital Grants
1,42,05,Indivisible - Current Grants
1,42,21,General Category - Capital Grants
1,42,25,General Category - Current Grants
1,42,41,Scheduled Castes - Capital Grants
1,42,45,Scheduled Castes - Current Grants
1,42,61,Scheduled Tribes - Capital Grants
1,42,65,Scheduled Tribes - Current Grants
1,43,00,Judiciary
1,43,01,Indivisible - Capital Grants
1,43,05,Indivisible - Current Grants
1,43,21,General Category - Capital Grants
1,43,25,General Category - Current Grants
1,43,41,Scheduled Castes - Capital Grants
1,43,45,Scheduled Castes - Current Grants
1,43,61,Scheduled Tribes - Capital Grants
1,43,65,Scheduled Tribes - Current Grants
1,44,00,Major Road Works
1,44,01,Indivisible - Capital Grants
1,44,05,Indivisible - Current Grants
1,44,21,General Category - Capital Grants
1,44,25,General Category - Current Grants
1,44,41,Scheduled Castes - Capital Grants
1,44,45,Scheduled Castes - Current Grants
1,44,61,Scheduled Tribes - Capital Grants
1,44,65,Scheduled Tribes - Current Grants
1,45,00,Other Road Works
1,45,01,Indivisible - Capital Grants
1,45,05,Indivisible - Current Grants
1,45,21,General Category - Capital Grants
1,45,25,General Category - Current Grants
1,45,41,Scheduled Castes - Capital Grants
1,45,45,Scheduled Castes - Current Grants
1,45,61,Scheduled Tribes - Capital Grants
1,45,65,Scheduled Tribes - Current Grants
1,46,00,Police and Prisons
1,46,01,Indivisible - Capital Grants
1,46,05,Indivisible - Current Grants
1,46,21,General Category - Capital Grants
1,46,25,General Category - Current Grants
1,46,41,Scheduled Castes - Capital Grants
1,46,45,Scheduled Castes - Current Grants
1,46,61,Scheduled Tribes - Capital Grants
1,46,65,Scheduled Tribes - Current Grants
1,47,00,Refugees Relief
1,47,01,Indivisible - Capital Grants
1,47,05,Indivisible - Current Grants
1,47,21,General Category - Capital Grants
1,47,25,General Category - Current Grants
1,47,41,Scheduled Castes - Capital Grants
1,47,45,Scheduled Castes - Current Grants
1,47,61,Scheduled Tribes - Capital Grants
1,47,65,Scheduled Tribes - Current Grants
1,48,00,Rural Housing
1,48,01,Indivisible - Capital Grants
1,48,05,Indivisible - Current Grants
1,48,21,General Category - Capital Grants
1,48,25,General Category - Current Grants
1,48,41,Scheduled Castes - Capital Grants
1,48,45,Scheduled Castes - Current Grants
1,48,61,Scheduled Tribes - Capital Grants
1,48,65,Scheduled Tribes - Current Grants
1,49,00,Other Rural Development Programmes
1,49,01,Indivisible - Capital Grants
1,49,05,Indivisible - Current Grants
1,49,21,General Category - Capital Grants
1,49,25,General Category - Current Grants
1,49,41,Scheduled Castes - Capital Grants
1,49,45,Scheduled Castes - Current Grants
1,49,61,Scheduled Tribes - Capital Grants
1,49,65,Scheduled Tribes - Current Grants
1,50,00,Scholarships and Stipends
1,50,01,Indivisible - Capital Grants
1,50,05,Indivisible - Current Grants
1,50,21,General Category - Capital Grants
1,50,25,General Category - Current Grants
1,50,41,Scheduled Castes - Capital Grants
1,50,45,Scheduled Castes - Current Grants
1,50,61,Scheduled Tribes - Capital Grants
1,50,65,Scheduled Tribes - Current Grants
1,51,00,Capacity Building and Training
1,51,01,Indivisible - Capital Grants
1,51,05,Indivisible - Current Grants
1,51,21,General Category - Capital Grants
1,51,25,General Category - Current Grants
1,51,41,Scheduled Castes - Capital Grants
1,51,45,Scheduled Castes - Current Grants
1,51,61,Scheduled Tribes - Capital Grants
1,51,65,Scheduled Tribes - Current Grants
1,52,00,Skill Development
1,52,01,Indivisible - Capital Grants
1,52,05,Indivisible - Current Grants
1,52,21,General Category - Capital Grants
1,52,25,General Category - Current Grants
1,52,41,Scheduled Castes - Capital Grants
1,52,45,Scheduled Castes - Current Grants
1,52,61,Scheduled Tribes - Capital Grants
1,52,65,Scheduled Tribes - Current Grants
1,53,00,Social Security Pensions
1,53,01,Indivisible - Capital Grants
1,53,05,Indivisible - Current Grants
1,53,21,General Category - Capital Grants
1,53,25,General Category - Current Grants
1,53,41,Scheduled Castes - Capital Grants
1,53,45,Scheduled Castes - Current Grants
1,53,61,Scheduled Tribes - Capital Grants
1,53,65,Scheduled Tribes - Current Grants
1,54,00,Special Component Plan
1,54,01,Indivisible - Capital Grants
1,54,05,Indivisible - Current Grants
1,54,21,General Category - Capital Grants
1,54,25,General Category - Current Grants
1,54,41,Scheduled Castes - Capital Grants
1,54,45,Scheduled Castes - Current Grants
1,54,61,Scheduled Tribes - Capital Grants
1,54,65,Scheduled Tribes - Current Grants
1,55,00,Tourism/ Heritage
1,55,01,Indivisible - Capital Grants
1,55,05,Indivisible - Current Grants
1,55,21,General Category - Capital Grants
1,55,25,General Category - Current Grants
1,55,41,Scheduled Castes - Capital Grants
1,55,45,Scheduled Castes - Current Grants
1,55,61,Scheduled Tribes - Capital Grants
1,55,65,Scheduled Tribes - Current Grants
1,56,00,Welfare of OBCs - Other Schemes
1,56,01,Indivisible - Capital Grants
1,56,05,Indivisible - Current Grants
1,56,21,General Category - Capital Grants
1,56,25,General Category - Current Grants
1,56,41,Scheduled Castes - Capital Grants
1,56,45,Scheduled Castes - Current Grants
1,56,61,Scheduled Tribes - Capital Grants
1,56,65,Scheduled Tribes - Current Grants
1,58,00,Tribal Area Development
1,58,01,Indivisible - Capital Grants
1,58,05,Indivisible - Current Grants
1,58,21,General Category - Capital Grants
1,58,25,General Category - Current Grants
1,58,41,Scheduled Castes - Capital Grants
1,58,45,Scheduled Castes - Current Grants
1,58,61,Scheduled Tribes - Capital Grants
1,58,65,Scheduled Tribes - Current Grants
1,59,00,Urban Housing
1,59,01,Indivisible - Capital Grants
1,59,05,Indivisible - Current Grants
1,59,21,General Category - Capital Grants
1,59,25,General Category - Current Grants
1,59,41,Scheduled Castes - Capital Grants
1,59,45,Scheduled Castes - Current Grants
1,59,61,Scheduled Tribes - Capital Grants
1,59,65,Scheduled Tribes - Current Grants
1,60,00,Urban Infrastructure (I.T.)
1,60,01,Indivisible - Capital Grants
1,60,05,Indivisible - Current Grants
1,60,21,General Category - Capital Grants
1,60,25,General Category - Current Grants
1,60,41,Scheduled Castes - Capital Grants
1,60,45,Scheduled Castes - Current Grants
1,60,61,Scheduled Tribes - Capital Grants
1,60,65,Scheduled Tribes - Current Grants
1,61,00,Other Urban Development Programmes
1,61,01,Indivisible - Capital Grants
1,61,05,Indivisible - Current Grants
1,61,21,General Category - Capital Grants
1,61,25,General Category - Current Grants
1,61,41,Scheduled Castes - Capital Grants
1,61,45,Scheduled Castes - Current Grants
1,61,61,Scheduled Tribes - Capital Grants
1,61,65,Scheduled Tribes - Current Grants
1,62,00,Water Supply
1,62,01,Indivisible - Capital Grants
1,62,05,Indivisible - Current Grants
1,62,21,General Category - Capital Grants
1,62,25,General Category - Current Grants
1,62,41,Scheduled Castes - Capital Grants
1,62,45,Scheduled Castes - Current Grants
1,62,61,Scheduled Tribes - Capital Grants
1,62,65,Scheduled Tribes - Current Grants
1,63,00,Child Welfare
1,63,01,Indivisible - Capital Grants
1,63,05,Indivisible - Current Grants
1,63,21,General Category - Capital Grants
1,63,25,General Category - Current Grants
1,63,41,Scheduled Castes - Capital Grants
1,63,45,Scheduled Castes - Current Grants
1,63,61,Scheduled Tribes - Capital Grants
1,63,65,Scheduled Tribes - Current Grants
1,64,00,Women Development
1,64,01,Indivisible - Capital Grants
1,64,05,Indivisible - Current Grants
1,64,21,General Category - Capital Grants
1,64,25,General Category - Current Grants
1,64,41,Scheduled Castes - Capital Grants
1,64,45,Scheduled Castes - Current Grants
1,64,61,Scheduled Tribes - Capital Grants
1,64,65,Scheduled Tribes - Current Grants
1,65,00,Youth Affairs and Sports
1,65,01,Indivisible - Capital Grants
1,65,05,Indivisible - Current Grants
1,65,21,General Category - Capital Grants
1,65,25,General Category - Current Grants
1,65,41,Scheduled Castes - Capital Grants
1,65,45,Scheduled Castes - Current Grants
1,65,61,Scheduled Tribes - Capital Grants
1,65,65,Scheduled Tribes - Current Grants
1,66,00,Differently abled persons
1,66,01,Indivisible - Capital Grants
1,66,05,Indivisible - Current Grants
1,66,21,General Category - Capital Grants
1,66,25,General Category - Current Grants
1,66,41,Scheduled Castes - Capital Grants
1,66,45,Scheduled Castes - Current Grants
1,66,61,Scheduled Tribes - Capital Grants
1,66,65,Scheduled Tribes - Current Grants
1,67,00,Minorities Welfare
1,67,01,Indivisible - Capital Grants
1,67,05,Indivisible - Current Grants
1,67,21,General Category - Capital Grants
1,67,25,General Category - Current Grants
1,67,41,Scheduled Castes - Capital Grants
1,67,45,Scheduled Castes - Current Grants
1,67,61,Scheduled Tribes - Capital Grants
1,67,65,Scheduled Tribes - Current Grants
1,68,00,Technical Education
1,68,01,Indivisible - Capital Grants
1,68,05,Indivisible - Current Grants
1,68,21,General Category - Capital Grants
1,68,25,General Category - Current Grants
1,68,41,Scheduled Castes - Capital Grants
1,68,45,Scheduled Castes - Current Grants
1,68,61,Scheduled Tribes - Capital Grants
1,68,65,Scheduled Tribes - Current Grants
1,69,00,Drinking Water
1,69,01,Indivisible - Capital Grants
1,69,05,Indivisible - Current Grants
1,69,21,General Category - Capital Grants
1,69,25,General Category - Current Grants
1,69,41,Scheduled Castes - Capital Grants
1,69,45,Scheduled Castes - Current Grants
1,69,61,Scheduled Tribes - Capital Grants
1,69,65,Scheduled Tribes - Current Grants
1,77,00,Deduct - Refund of Unspent Grants
1,77,05,Indivisible - Current Grants
1,99,00,Other Grants
1,99,01,Indivisible - Capital Grants
1,99,05,Indivisible - Current Grants
1,99,21,General Category - Capital Grants
1,99,25,General Category - Current Grants
1,99,41,Scheduled Castes - Capital Grants
1,99,45,Scheduled Castes - Current Grants
1,99,61,Scheduled Tribes - Capital Grants
1,99,65,Scheduled Tribes - Current Grants
2,00,00,State Resources (SOTR/SONTR/Cap Receipts)
2,01,00,Excess due to Mistake / Inadvertence
2,01,01,Excess due to Mistake / Inadvertence
2,02,00,Exports
2,02,01,Exports
2,03,00,Deemed Exports
2,03,01,Deemed Exports
2,04,00,Provisional Assesments
2,04,01,Provisional Assesments
2,05,00,Pre-deposit for filing appeals
2,05,01,Pre-deposit for filing appeals
2,06,00,Duty paid during investigation
2,06,01,Duty paid during investigation
2,07,00,Purchase made by Embassies
2,07,01,Purchase made by Embassies
2,08,00,Accumulated credit due to inverted duty structure
2,08,01,Accumulated credit due to inverted duty structure
2,09,00,Year end or volume based incentives
2,09,01,Year end or volume based incentives
2,10,00,International Tourists
2,10,01,International Tourists
2,11,00,Others
2,11,01,Others
2,14,00,Taxes
2,14,01,Inter-State Sales Tax (Central Sales Tax)
2,14,02,State Goods and Service Tax
2,14,03,Integrated Goods and Service Tax
2,14,06,Value Added Tax
2,14,07,General Sales Tax
2,14,16,Non-Value Added Tax-Petroleum Goods
2,14,17,Non-Value Added Tax-Sugar Cane
2,14,18,Non-Value Added Tax-Tobacco and Tobacco Products
2,14,19,Non-Value Added Tax-Other Goods
2,14,31,State Excise
2,14,41,Registration
2,14,56,Vehicles Tax
2,14,66,Taxes on Goods and Passengers
2,14,71,Electricity Tax
2,14,76,Entertainment Tax
2,14,81,Betting Tax
2,14,86,Luxury Tax
2,14,91,Land Tax
2,14,95,Fiscal Fines and Penalty
2,14,97,"Forfeiture, Seizure, Confiscation, etc"
2,14,99,Others
2,15,00,"Levy, Cess, Surcharge, etc. on Taxes"
2,15,01,Inter-State Sales Tax (Central Sales Tax)
2,15,06,Value Added Tax
2,15,07,General Sales Tax
2,15,16,Non-Value Added Tax-Petroleum Goods
2,15,17,Non-Value Added Tax-Sugar Cane
2,15,18,Non-Value Added Tax-Tobacco and Tobacco Products
2,15,19,Non-Value Added Tax-Other Goods
2,15,31,State Excise
2,15,32,Licence Fee
2,15,39,Duty
2,15,41,Registration
2,15,51,Stamps
2,15,56,Vehicles Tax
2,15,66,Taxes on Goods and Passengers
2,15,71,Electricity Tax
2,15,76,Entertainment Tax
2,15,77,Deduct-Refunds
2,15,81,Betting Tax
2,15,86,Luxury Tax
2,15,91,Land Tax
2,15,95,Fiscal Fines and Penalty
2,15,97,"Forfeiture, Seizure, Confiscation, etc"
2,15,99,Others
2,16,00,Taxation Fees
2,16,01,Inter-State Sales Tax (Central Sales Tax)
2,16,03,Taxes
2,16,06,Value Added Tax
2,16,07,General Sales Tax
2,16,16,Non-Value Added Tax-Petroleum Goods
2,16,17,Non-Value Added Tax-Sugar Cane
2,16,18,Non-Value Added Tax-Tobacco and Tobacco Products
2,16,19,Non-Value Added Tax-Other Goods
2,16,31,State Excise
2,16,32,Vend Fee
2,16,33,Additional Vend Fee
2,16,34,Licence Fee
2,16,41,Registration
2,16,51,Stamps
2,16,56,Vehicles Tax
2,16,66,Taxes on Goods and Passengers
2,16,71,Electricity Tax
2,16,72,Inspection Fees - Electricity Charges
2,16,76,Entertainment Tax
2,16,81,Betting Tax
2,16,86,Luxury Tax
2,16,91,Land Tax
2,16,95,Fiscal Fines and Penalty
2,16,97,"Forfeiture, Seizure, Confiscation, etc"
2,16,99,Others
2,17,00,Stamps Duty
2,17,01,Judicial-in lieu of Court Fees
2,17,02,Judicial-Copy Stamp Papers
2,17,21,Non-Judicial-Hundy Stamps
2,17,22,Non-Judicial-Adhesive Revenue Stamps
2,17,23,Non-Judicial-Other Stamps
2,17,41,Duties-Other Stamps
2,17,42,Duties-Unstamped/ Insufficiently stamped
2,17,95,Fiscal Fines and Penalty
2,17,97,"Forfeiture, Seizure, Confiscation, etc"
2,17,99,Others
2,18,00,Taxation Service Charges
2,18,01,Vehicles Tax
2,18,95,Fiscal Fines and Penalty
2,18,97,"Forfeiture, Seizure, Confiscation, etc"
2,18,99,Others
2,19,00,Taxes - Refunds
2,19,01,Excess due to Mistake / Inadvertence
2,19,02,Exports
2,19,03,Deemed Exports
2,19,04,Provisional Assesments
2,19,05,Pre-Deposits for filing appeals
2,19,06,Duty paid during Investigation
2,19,07,Purchases made by Embassies
2,19,08,Accumulated credit due to Inverted
2,19,09,Year end or volume based incentives
2,19,10,International Tourists
2,19,99,Others
2,21,00,Receipts from Central Government
2,21,01,Education (for SSA & RMSA)
2,21,02,Handlooms & Textiles
2,21,03,Health & Family Welfare (NRHM-Construction& Sterlization
Programme)
2,21,04,Police
2,21,05,Highways
2,21,06,Electricity
2,21,07,Training
2,21,08,Grants
2,21,09,"Tourism, Culture and Religious Endowments"
2,21,10,Administration of Justice
2,21,99,Others
2,22,00,Subsidies
2,22,01,National Cooperative Development Corporation
2,22,99,Others
2,23,00,Contributions and Donations
2,23,01,Leave Salary
2,23,02,Pension
2,23,03,Gratuity
2,23,04,Provident Funds
2,23,05,New Pension Scheme
2,23,21,Local Bodies
2,23,22,Elementary Schools
2,23,23,Matriculation Schools
2,23,24,Endowments/ Public
2,23,25,Employees' State Insurance Corporation
2,23,39,Private Individuals
2,23,40,Other Institutions
2,23,41,Donations
2,23,99,Others
2,24,00,Subscriptions
2,24,01,New Health Insurance Scheme-Employees
2,24,02,New Health Insurance Scheme-Pensioners
2,24,03,Family Benefit Fund
2,24,04,Group Insurance
2,24,95,Fiscal Fines and Penalty
2,24,99,Others
2,25,00,Interest
2,25,01,Investments
2,25,02,Premium
2,25,03,Deposits
2,25,04,Accrued Interest
2,25,11,Public Sector Undertakings/ Boards/ Corporations
2,25,12,Local Bodies
2,25,13,Co-Operative Institutions
2,25,14,Universities
2,25,15,Work Advances
2,25,30,Loans controlled by Heads of Department
2,25,31,House Building Advances
2,25,32,Advance for the Purchase of Motor Cars
2,25,33,Advance for the Purchase of conveyance other than MotorCars
2,25,34,Advance for the purchase of Warm Clothing
2,25,35,Advance for the celebration of marriage
2,25,36,Advance for the purchase of Computers
2,25,61,Belated Remittances
2,25,62,Unspent Balance
2,25,96,Penal Interest
2,25,99,Others
2,26,00,Dividends
2,26,01,Public Sector Undertakings/ Boards/ Corporations
2,26,02,Co-Operative Institutions
2,26,03,Other Institutions
2,26,95,Fiscal Fines and Penalty
2,26,99,Others
2,27,00,Non-Taxation Fees
2,27,01,Admission
2,27,02,Adjudication/ Arbitration
2,27,03,Advertisement & Publicity
2,27,04,Affiliation
2,27,05,Application
2,27,06,Audit
2,27,07,Berthing
2,27,08,Certificates/ Records
2,27,09,Collections
2,27,10,Court
2,27,11,Copying
2,27,12,Entrance
2,27,13,Examination
2,27,14,Execution
2,27,15,Ferrying
2,27,16,Film Shooting
2,27,17,Forensic Services
2,27,18,Hostels
2,27,19,Inspection/ Verification
2,27,20,Laboratories
2,27,21,Labour Laws
2,27,22,Licence
2,27,23,Liquidation
2,27,24,Market
2,27,25,Medical
2,27,26,Nomination
2,27,27,Processing
2,27,28,Publication
2,27,29,Registration
2,27,30,Regularisation
2,27,31,Retotalling/ Revaluation
2,27,32,Stamping Weights & Measures
2,27,33,Supervision
2,27,34,Testing
2,27,35,Toll
2,27,36,Training
2,27,37,Tuition
2,27,38,Upkeep of Fire Arms
2,27,39,Translation and Printing Fees
