#Major Head,Desc
4211,CAPITAL OUTLAY ON FAMILY WELFARE
4215,CAPITAL OUTLAY ON WATER SUPPLY AND SANITATION
4216,CAPITAL OUTLAY ON HOUSING
4216,CAPITAL OUTLAY ON HOUSING
4217,CAPITAL OUTLAY ON URBAN DEVELOPMENT
4220,CAPITAL OUTLAY ON INFORMATION AND PUBLICITY
4221,CAPITAL OUTLAY ON BROADCASTING
4225,"CAPITAL OUTLAY ON WELFARE OF SCHEDULED CASTES,SCHEDULED TRIBES, OTHER BACKWARD CLASSES AND MINORITIES"
4235,CAPITAL OUTLAY ON SOCIAL SECURITY AND WELFARE
4236,CAPITAL OUTLAY ON NUTRITION
4250,CAPITAL OUTLAY ON OTHER SOCIAL SERVICES
4401,CAPITAL OUTLAY ON CROP HUSBANDRY
4402,CAPITAL OUTLAY ON SOIL AND WATER CONSERVATION
4403,CAPITAL OUTLAY ON ANIMAL HUSBANDRY
4404,CAPITAL OUTLAY ON DAIRY DEVELOPMENT
4405,CAPITAL OUTLAY ON FISHERIES
4406,CAPITAL OUTLAY ON FORESTRY AND WILD LIFE
4408,CAPITAL OUTLAY ON FOOD STORAGE AND WARE HOUSING
4415,CAPITAL OUTLAY ON AGRICULTURAL RESEARCH AND EDUCATION
4425,CAPITAL OUTLAY ON CO-OPERATION
4435,CAPITAL OUTLAY ON OTHER AGRICULTURAL PROGRAMMES
4515,CAPITAL OUTLAY ON OTHER RURAL DEVELOPMENT PROGRAMMES
4551,CAPITAL OUTLAY ON HILL AREAS
4700,CAPITAL OUTLAY ON MAJOR IRRIGATION
4701,CAPITAL OUTLAY ON MEDIUM IRRIGATION
4702,CAPITAL OUTLAY ON MINOR IRRIGATION
4705,CAPITAL OUTLAY ON COMMAND AREA DEVELOPMENT
4711,CAPITAL OUTLAY ON FLOOD CONTROL PROJECTS
4801,CAPITAL OUTLAY ON POWER PROJECTS
4851,CAPITAL OUTLAY ON VILLAGE AND SMALL INDUSTRIES
4854,CAPITAL OUTLAY ON CEMENT AND NON-METALLIC MINERAL INDUSTRIES
4860,CAPITAL OUTLAY ON CONSUMER INDUSTRIES
4875,CAPITAL OUTLAY ON OTHER INDUSTRIES
5052,CAPITAL OUTLAY ON SHIPPING
5053,CAPITAL OUTLAY ON CIVIL AVIATION
5054,CAPITAL OUTLAY ON ROADS AND BRIDGES
5055,CAPITAL OUTLAY ON ROAD TRANSPORT
5075,CAPITAL OUTLAY ON OTHER TRANSPORT SERVICES
5425,CAPITAL OUTLAY ON OTHER SCIENTIFIC AND ENVIRONMENTAL RESEARCH
5452,CAPITAL OUTLAY ON TOURISM
5465,INVESTMENTS IN GENERAL FINANCIAL AND TRADING INSTITUTIONS
5475,CAPITAL OUTLAY ON OTHER GENERAL ECONOMIC SERVICES
6003,INTERNAL DEBT OF THE STATE GOVERNMENT
6004,LOANS AND ADVANCES FROM THE CENTRAL GOVERNMENT
6202,"LOANS FOR EDUCATION,SPORTS, ART AND CULTURE"
6215,LOANS FOR WATER SUPPLY AND SANITATION
6216,LOANS FOR HOUSING
6217,LOANS FOR URBAN DEVELOPMENT
6221,LOANS FOR BROADCASTING
6225,"LOANS FOR WELFARE OF SCHEDULED CASTES, SCHEDULED TRIBES, OTHER BACKWARD CLASSES AND MINORITIES"
6401,LOANS FOR CROP HUSBANDRY
6407,LOANS FOR PLANTATIONS
6425,LOANS FOR COOPERATION
6505,LOANS FOR RURAL EMPLOYMENT
6801,LOANS FOR POWER PROJECTS
6851,LOANS FOR VILLAGE AND SMALL INDUSTRIES
6853,LOANS FOR NON-FERROUS MINING AND METALLURGICAL INDUSTRIES
6854,LOANS FOR CEMENT AND NON-METALLIC MINERAL INDUSTRIES
6860,LOANS FOR CONSUMER INDUSTRIES
6875,LOANS FOR OTHER INDUSTRIES
6885,LOANS FOR OTHER INDUSTRIES AND MINERALS
7055,LOANS FOR ROAD TRANSPORT
7075,LOANS FOR OTHER TRANSPORT SERVICES
7452,LOANS FOR TOURISM
7610,LOANS TO GOVERNMENT SERVANTS ETC.
7615,MISCELLANEOUS LOANS
